X,Y,OBJECTID,PROPERTY_ID,UGLG_KEY,HUB_NAME_TEXT,SERVICING_SITE_NAME_TEXT,PROJECT_MANAGER_NAME_TEXT,PROPERTY_NAME_TEXT,ADDRESS_LINE1_TEXT,ADDRESS_LINE2_TEXT,AUTOMATIC_GEOCODE_IND,CONGRESSIONAL_DISTRICT_CODE,PLACED_BASE_CITY_NAME_TEXT,TOTAL_ASSISTED_UNIT_COUNT,TOTAL_UNIT_COUNT,PROPERTY_ON_SITE_PHONE_NUMBER,PROPERTY_CATEGORY_NAME,CLIENT_GROUP_CODE,CLIENT_GROUP_NAME,CLIENT_GROUP_TYPE,REAC_LAST_INSPECTION_ID,REAC_LAST_INSPECTION_SCORE,FASS_LAST_PERFORMANCE_VALUE,FASS_LST_TOT_MGMT_COND_CNT,FASS_LAST_REFERRED_TO_CODE,IS_AFS_REQUIRED_IND,AFS_FISCAL_YR_END_DATE,HAS_ACTIVE_FINANCING_IND,PRIMARY_FINANCING_TYPE,IS_ALL_FINANCING_PIPELINE_IND,IS_ALL_CONTRACT_PIPELINE_IND,IS_UNDER_MANAGEMENT_IND,HAS_SERVICE_AGREEMENT_IND,HAS_USE_RESTRICTION_IND,HAS_ACTIVE_IRP_IND,IS_SERVICE_COORDINATOR_IND,PRIMARY_FHA_NUMBER,ASSOCIATED_FHA_NUMBER,ASSOCIATED_CONTRACT_NUMBER,TROUBLED_CODE,OPIIS_RISK_CATEGORY,OPIIS_SIZE_CATEGORY,OPIIS_INT_RISK_SCORE,IS_ACTIVE_DEC_CASE_IND,WAS_EVER_DEC_CASE_IND,IS_INSURED_IND,WAS_EVER_INSURED_IND,IS_202_811_IND,WAS_EVER_202_811_IND,IS_HUD_HELD_IND,IS_HUD_OWNED_IND,IS_FLEXIBLE_SUBSIDY_IND,IS_HOSPITAL_IND,IS_NURSING_HOME_IND,IS_BOARD_AND_CARE_IND,IS_ASSISTED_LIVING_IND,IS_REFINANCED_IND,IS_221D3_IND,IS_221D4_IND,IS_236_IND,IS_IN_DEFAULT_DELINQUENT_IND,IS_NON_INSURED_IND,IS_BMIR_IND,IS_RISK_SHARING_IND,IS_MIP_IND,IS_CO_INSURED_IND,IS_SUBSIDIZED_IND,WAS_EVER_SUBSIDIZED_IND,HAS_ACTIVE_ASSISTANCE_IND,WAS_EVER_ASSISTED_IND,IS_ACC_OLD_IND,IS_ACC_PERFORMANCE_BASED_IND,IS_SEC8_IND,IS_PAC_IND,IS_PRAC_IND,IS_RENT_SUPPLEMENT_IND,IS_SECTION_236_RAP_IND,IS_SEC8_202_IND,IS_SEC8_FMHA_515_IND,IS_SEC8_STATE_AGENCY_HFA_IND,IS_SEC8_LMSA_IND,IS_SEC8_PRPRTY_DISPOSITION_IND,IS_SEC8_PRESERVATION_IND,IS_SEC8_OTHR_NW_CNSTRCTION_IND,IS_SEC8_OTHER_SUB_REHAB_IND,IS_PENSION_FUND_IND,IS_PAC_202_IND,IS_PAC_811_IND,IS_PRAC_202_IND,IS_PRAC_811_IND,HAS_FULL_DEBT_RESTRUCTURE_IND,LAST_CRITICAL_DATE_DESC,OAHP_PROJECT_RECOMMENDATION_TX,OAHP_PROCESSING_TYPE,IS_ON_WATCH_LIST_IND,IS_GREEN_RETROFIT_IND,IS_202_DIRECT_LOAN_IND,IS_202_CAPITAL_ADVANCE_IND,IS_811_CAPITAL_ADVANCE_IND,ENERGY_PERFORMANCE_CONTRCT_IND,IS_SEC8_RAD_DEMO_CONV_IND,FINANCIAL_STMNT_REQ_IND,IS_811_PRA_DEMO_IND,CONTRACT1,CONTRACT2,CONTRACT_COUNT,UNITS1,UNITS2,MAXIMUM_CONTRACT_UNIT_COUNT,PROGRAM_TYPE1,PROGRAM_TYPE2,EXPIRATION_DATE1,EXPIRATION_DATE2,RENT_TO_FMR_RATIO1,RENT_TO_FMR_RATIO2,BD0_CNT1,BD0_CNT2,BD1_CNT1,BD1_CNT2,BD2_CNT1,BD2_CNT2,BD3_CNT1,BD3_CNT2,BD4_CNT1,BD4_CNT2,BD5_CNT1,BD5_CNT2,FHA_NUM1,FHA_NUM2,SOACODE1,SOACODE2,SOA_NAME1,SOA_NAME2,TAXCREDIT1,TAXCREDIT2,FHA_COUNT,STATE2KX,CNTY_NM2KX,CNTY2KX,TRACT2KX,BG2KX,BLOCK2KX,CURCNTY_NM,CURCNTY,CURCOSUB,CURCOSUB_NM,PLACE2KX,PLACE_NM2KX,PLACE_CC2KX,PLACE_INC2KX,MSA,MSA_NM,CBSA,CBSA_NM,NECTA,NECTA_NM,METRO,MICRO,FCD_FIPS91,HLC,DPV,DPVRC,DPVACT,DPVNOST,STD_ADDR,URB_OUT,STD_CITY,STD_ST,STD_ZIP5,STD_ZIP9,ZIP_CLASS,ZCTA2KX,DPBC,DPBC_CKSUM,STD_ZIP11,ADDR_TYPE,APT_NO,APT_TYPE,C1PGRC,C1PPRB,C1PDRC,C1PSRC,C1PARC,C1PRC9,MSGUSPS,LAT,LON,RC2KX,STM2KX,LVL2KX,UR,MSG2KX,COUNTY_LEVEL,PLACE_LEVEL,TRACT_LEVEL,BLKGRP_LEVEL,CAT_LATEST_MROC_SCORE_COLOR,CAT_LTST_INTGRTD_RSK_SCORE_CAT,MTR_LATEST_DSCR,MGMT_AGENT_ORG_NAME,MGMT_CONTACT_FULL_NAME,MGMT_CONTACT_INDV_TITLE_TEXT,MGMT_CONTACT_ADDRESS_LINE1,MGMT_CONTACT_ADDRESS_LINE2,MGMT_CONTACT_CITY_NAME,MGMT_CONTACT_STATE_CODE,MGMT_CONTACT_ZIP_CODE,MGMT_CONTACT_MAIN_PHN_NBR,MGMT_CONTACT_EMAIL_TEXT,LOAN_MATURITY_DATE,DEMO_RESTRUCTURE_CLOSING_DATE,REAC_LAST_INSPCT_RELEASE_DATE,MARK_TO_MARKET_RESTRUCTURE_DT,REAC_LAST_INSPECTION_DATE,FASS_LAST_AFS_CLOSED_DATE,FASS_LAST_REPORTING_END_DT,FULL_DEBT_RESTRUCTURE_DATE,LAST_CRITICAL_DATE,NGHBRHD_NTWRK_EST_DATE,OCCUPANCY_DATE,OPIIS_RISK_CATEGORY_CHANGE_DT,TROUBLED_STATUS_UPDATE_DATE,WATCH_LIST_DATE,ORIGINAL_LOAN_AMOUNT,UNIT_MRKT_RENT_CNT,INITIAL_ENDORSEMENT_DATE,TOTAL_AVBL_UNITS,PCT_OCCUPIED,NUMBER_REPORTED,PCT_REPORTED,MONTHS_SINCE_REPORT,PCT_MOVEIN,PEOPLE_PER_UNIT,PEOPLE_TOTAL,RENT_PER_MONTH,SPENDING_PER_MONTH,HH_INCOME,PERSON_INCOME,PCT_LT5K,PCT_5K_LT10K,PCT_10K_LT15K,PCT_15K_LT20K,PCT_GE20K,PCT_WAGE_MAJOR,PCT_WELFARE_MAJOR,PCT_OTHER_MAJOR,PCT_MEDIAN,PCT_LT50_MEDIAN,PCT_LT30_MEDIAN,PCT_2ADULTS,PCT_1ADULT,PCT_FEMALE_HEAD,PCT_FEMALE_HEAD_CHILD,PCT_DISABLED_LT62,PCT_DISABLED_GE62,PCT_DISABLED_ALL,PCT_LT24_HEAD,PCT_AGE25_50,PCT_AGE51_61,PCT_AGE62PLUS,PCT_AGE85PLUS,PCT_MINORITY,PCT_BLACK,PCT_NATIVE_AMERICAN,PCT_ASIAN,PCT_HISPANIC,MONTHS_WAITING,MONTHS_FROM_MOVEIN,PCT_UTILITY_ALLOW,AVE_UTIL_ALLOW,PCT_BED1,PCT_BED2,PCT_BED3,PCT_OVERHOUSED,TMINORITY,TPOVERTY,TPCT_OWNSFD,CHLDRN_MBR_CNT,ELDLY_PRCNT,PCT_DISABLED_LT62_ALL,PCT_LT80_MEDIAN,MEDIAN_INC_AMNT,LAST_UPDT_DTTM,ANNL_EXPNS_AMNT,ANNL_EXPNS_AMNT_PREV_YR
-77.4099199999999,37.317220999,4837,800021704,51041,Baltimore,Baltimore,TANYA WINTERS,Colonial Ridge Apartments,15101 Lorimer Rd,Apt C,Y,04,Colonial Heights,191,192,804-520-4570,Insured-Subsidized,FAM,Indv. families - not eld/ handicap,Family,580813,60  c,85 - Green*,1,,Y,12/31,Y,Insured,N,N,Y,N,N,N,N,05135750,05135750,VA360025002,P,Low,,3,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,,,,,N,N,,N,N,N,N,Y,N,VA360025002,,1,191,0,191,Sec 8 NC,,30-NOV-39,,101.95999908,0,0,0,23,0,108,0,60,0,0,0,0,0,05135750,,OMI,,221d4 NC/SR,,Y,,1,51,Chesterfield,041,100506,3,3007,Chesterfield,041,90248,Bermuda,16096,Chester CDP,U1,,6760,"Richmond-Petersburg, VA MSA",40060,"Richmond, VA Metropolitan Statistical Area",99999,,1,0,5104,0294,Y,,,,15101 Lorimer Rd Apt C,,South Chesterfield,VA,23834,5071,,23834,75,5,23834507175,H,C,Apt,,0,,,,,100% Overall probable correctness,37.317221,-77.40992,S,,R,U,** Street-Level Rooftop **,51041,5116096,51041100506,510411005063,,,1.909,"Summit Realty Group, Inc.",Barry M. Kornblau,President,"4801 Radford Ave., Suite 104",,Richmond,VA,23230,804-359-9392,SRGI@Bellatlantic.net,2059/03/01 00:00:00+00,,2016/10/25 00:00:00+00,,2016/10/19 00:00:00+00,,2020/12/31 00:00:00+00,,,,1979/01/03 00:00:00+00,2017/07/24 10:23:34+00,2021/12/20 11:15:23+00,,36184000,8,2017/12/28 00:00:00+00,191,94.07,161,89.610001,9,3.73,2.7,436,274,1039,12733,4702,27.030001,30.41,8.7799997,7.4299998,26.35,36.650002,4.3499999,50.93,14.2,95.029999,81.989998,0.62,85.089996,98.760002,85.089996,7.1900001,50,4.5900002,11.18,80.75,3.1099999,4.9699998,0.62,92.550003,90.68,0,0,1.86,0,88,100,89,11.8,55.900002,32.299999,3.73,49.790001,6.0300002,71.010002,266,1.83,3.6700001,100,9516,2022/01/06 19:10:36+00,2238932,2363493
-77.318479,37.3262319990001,6189,800214074,51041,Baltimore,Baltimore,BLANCA M ROMERO,Chesterfield Gardens Apartment,2213 E. Hundred Road,,Y,04,Enon,0,105,804-425-6200,Insured-Unsubsidized,FAM,Indv. families - not eld/ handicap,Family,606949,89  c*,83 - Green*,1,None,Y,12/31,Y,Insured,N,N,Y,N,N,N,N,05135665,05111526,,N,Low,Large,3,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,N,N,,N,N,N,N,Y,N,,,0,0,0,0,S 221(d)(4),,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05135665,05111526,REJ,HRI,223(a)(7) Refi of 221d4 NC/SR,223(f) Refi/ Purchase Apts,N,N,2,51,Chesterfield,041,100510,2,2027,Chesterfield,041,90248,Bermuda,25877,Enon CDP,U1,,6760,"Richmond-Petersburg, VA MSA",40060,"Richmond, VA Metropolitan Statistical Area",99999,,1,0,5104,,N,,,,2213 E Hundred Rd,,Chester,VA,23836,3603,,23836,13,2,23836360313,S,,,,0,,,,,100% Overall probable correctness,37.326232,-77.318479,S,,R,U,** Street-Level Rooftop **,51041,5125877,51041100510,510411005102,,,1.642,Whittle & Roper Inc.,"Philip R. Roper, III",President,618 South Sycamore Street,,Petersburg,VA,23803,,,,,2019/06/28 00:00:00+00,,2019/06/27 00:00:00+00,2021/03/28 00:00:00+00,2020/12/31 00:00:00+00,,,,2001/03/08 00:00:00+00,2006/10/21 11:40:57+00,2021/04/15 09:48:44+00,,7281900,105,2013/02/27 00:00:00+00,0,0,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2022/01/06 19:10:36+00,-4,-4
-77.445748,37.3582219990001,6451,800218924,51041,Baltimore,Baltimore,CARA D JOHNSON,Chester Village Green Apartments,3524 Festival Park Plz,,Y,04,Chester,0,137,804-425-7474,Insured-Unsubsidized,FAM,Indv. families - not eld/ handicap,Family,540911,88  b,87 - Green,0,MFH,Y,12/31,Y,Insured,N,N,Y,N,N,N,N,05111501,05111501,,N,Low,Large,3,N,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,N,N,,N,N,N,N,Y,N,,,0,0,0,0,223(f) Refi/ Purchase Apts,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05111501,,HRI,,223(f) Refi/ Purchase Apts,,N,,1,51,Chesterfield,041,100410,1,1000,Chesterfield,041,90248,Bermuda,16096,Chester CDP,U1,,6760,"Richmond-Petersburg, VA MSA",40060,"Richmond, VA Metropolitan Statistical Area",99999,,1,0,5104,0294,Y,,,,3524 Festival Park Plz,,Chester,VA,23831,4449,,23831,24,6,23831444924,S,,,,0,,,,,100% Overall probable correctness,37.358222,-77.445748,S,,R,U,** Street-Level Rooftop **,51041,5116096,51041100410,510411004101,,,1.921,,,,,,,,,,,2056/11/01 00:00:00+00,,2017/12/08 00:00:00+00,,2017/12/07 00:00:00+00,,2020/12/31 00:00:00+00,,,,2004/05/25 00:00:00+00,2007/02/17 17:32:51+00,2021/07/08 14:07:29+00,,17024000,137,2021/10/29 00:00:00+00,0,0,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2022/01/06 19:10:36+00,-4,-4
-77.6383999999999,37.521899999,6857,800222147,51041,OHP,OHP,GERI X HANSEN,Spring Arbor5-Salisbury,Tumberry Lane,,Y,**,,0,77,,Insured-Unsubsidized,00,,,582902,96  a,No Overall Rating*,0,None,Y,12/31,Y,Insured,N,N,Y,N,N,N,N,05143238,05143238,,P,Low,Large,3,N,Y,Y,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,N,N,,N,N,N,N,Y,N,,,0,0,0,0,223(a)(7) Refi of 232 NC/SR Asst'd Living,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05143238,,REL,,223(a)(7) Refi of 232 NC/SR Asst'd Living,,N,,1,51,Chesterfield,041,100936,,,Chesterfield,041,94679,Midlothian,99999,Remainder of Midlothian district,99,,9999,,40060,"Richmond, VA Metropolitan Statistical Area",99999,,1,0,51**,,,,,,,,Chesterfield,VA,23113,,,23113,,,,,,,H,,,,,H,House # not found on this street,37.5219,-77.6384,5,S,T,U,**  Centroid Lat/Long   **,51041,5199999,51041100936,,,,3.86,,,,,,,,,,,2053/03/01 00:00:00+00,,2018/12/13 00:00:00+00,,2018/12/12 00:00:00+00,2021/03/31 00:00:00+00,2020/12/31 00:00:00+00,,,,2007/07/23 00:00:00+00,2015/04/07 08:44:03+00,2021/08/08 18:09:42+00,,9704100,77,2013/02/28 00:00:00+00,0,0,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2022/01/06 19:10:36+00,-4,-4
-77.402102,37.356119999,6987,800224203,51041,Baltimore,Baltimore,BLANCA M ROMERO,White Oak Apartments,12600 Chestnut Hill Road,,Y,04,,0,322,888-450-3573,Insured-Unsubsidized,FAM,Indv. families - not eld/ handicap,Family,621447,85  b,91 - Green,1,MFH,Y,12/31,Y,Insured,N,N,Y,N,N,N,N,05111502,05111502,,N,Low,,3,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,N,N,,N,N,N,N,Y,N,,,0,0,0,0,223(f) Refi/ Purchase Apts,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05111502,,HRI,,223(f) Refi/ Purchase Apts,,N,,1,51,Chesterfield,041,100403,3,3136,Chesterfield,041,90248,Bermuda,99999,Remainder of Bermuda district,99,,6760,"Richmond-Petersburg, VA MSA",40060,"Richmond, VA Metropolitan Statistical Area",99999,,1,0,5104,,N,,,,12600 Chestnut Hill Rd,,Chester,VA,23836,2406,,23836,00,6,23836240600,S,,,,0,,,,,100% Overall probable correctness,37.35612,-77.402102,S,,R,U,** Street-Level Rooftop **,51041,5199999,51041100403,510411004033,,,1.516,,,,,,,,,,,2056/12/01 00:00:00+00,,2019/10/17 00:00:00+00,,2019/10/16 00:00:00+00,,2020/12/31 00:00:00+00,,,,2008/11/24 00:00:00+00,2011/09/05 02:13:59+00,2021/10/14 14:18:14+00,,50088000,322,2021/11/30 00:00:00+00,0,0,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2022/01/06 19:10:36+00,-4,-4
-77.445726,37.3584519990001,8667,800234924,51041,Baltimore,Baltimore,DANIEL C BIGGERS,Festival Park Apartments,3610 Festival Park Plz,,Y,04,Chester,0,99,804-425-7474,Insured-Unsubsidized,FAM,Indv. families - not eld/ handicap,Family,595468,90  b,80 - Green*,1,MFH,Y,12/31,Y,Insured,N,N,Y,N,N,N,N,05111218,05111218,,N,Low,,0,N,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,N,N,,N,N,N,N,Y,N,,,0,0,0,0,223(f) Refi/ Purchase Apts,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05111218,05111522,HRI,HRI,223(f) Refi/ Purchase Apts,223(f) Refi/ Purchase Apts,N,N,2,51,Chesterfield,041,100410,1,1000,Chesterfield,041,90248,Bermuda,16096,Chester CDP,U1,,6760,"Richmond-Petersburg, VA MSA",40060,"Richmond, VA Metropolitan Statistical Area",99999,,1,0,5104,0294,Y,,,,3610 Festival Park Plz,,Chester,VA,23831,4422,,23831,10,0,23831442210,S,,,,0,,,,,100% Overall probable correctness,37.358452,-77.445726,S,,R,U,** Street-Level Rooftop **,51041,5116096,51041100410,510411004101,,,1.458,,,,,,,,,,,,,2017/12/08 00:00:00+00,,2017/12/07 00:00:00+00,2021/08/27 00:00:00+00,2020/12/31 00:00:00+00,,,,,2012/01/30 11:50:31+00,2021/08/31 11:59:35+00,,13000000,99,2011/12/29 00:00:00+00,0,0,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2022/01/06 19:10:36+00,-4,-4
-77.665657,37.525605999,9526,800241114,51041,OHP,OHP,TIMOTHY M MURNANE,Spring Arbor Cottage,14020 Steeplestone Drive,,Y,07,,0,36,,Insured-Unsubsidized,00,,,0,,No Overall Rating*,0,None,Y,12/31,Y,Insured,N,N,Y,N,N,N,N,05143250,05143250,,P,Low,,7,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,N,N,,N,N,N,N,Y,N,,,0,0,0,0,232 NC/SR Asst'd Living,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05143250,,RNL,,232 NC/SR Asst'd Living,,N,,1,51,Chesterfield,041,100935,1,1022,Chesterfield,041,94679,Midlothian,99999,Remainder of Midlothian district,99,,6760,"Richmond-Petersburg, VA MSA",40060,"Richmond, VA Metropolitan Statistical Area",99999,,1,0,5107,,Y,,,,14020 Steeplestone Dr,,Midlothian,VA,23113,6421,,23113,20,5,23113642120,S,,,,0,,,,,100% Overall probable correctness,37.525606,-77.665657,S,,R,U,** Street-Level Rooftop **,51041,5199999,51041100935,510411009351,,,,,,,,,,,,,,2056/12/01 00:00:00+00,,,,,2021/03/31 00:00:00+00,2020/12/31 00:00:00+00,,,,2017/01/19 00:00:00+00,2016/06/21 08:44:01+00,2021/01/12 18:12:38+00,,12960000,36,2016/06/10 00:00:00+00,0,0,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2022/01/06 19:10:36+00,-4,-4
-77.648419,37.415915999,9550,800243115,51041,OHP,OHP,TIMOTHY M MURNANE,Auburn Hill at Swift Creek,5800 Harbout Lane,,Y,**,Brandermill,0,0,,Insured-Unsubsidized,00,,,0,,Not Assessed,0,None,Y,12/31,Y,Insured,N,N,Y,N,N,N,N,05143253,05143253,,P,Low,,1,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,N,N,,N,N,N,N,Y,N,,,0,0,0,0,232 NC/SR Asst'd Living,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05143253,,RNL,,232 NC/SR Asst'd Living,,N,,1,51,Chesterfield,041,101007,3,3015,Chesterfield,041,90896,Clover Hill,09248,Brandermill CDP (part),U1,,6760,"Richmond-Petersburg, VA MSA",40060,"Richmond, VA Metropolitan Statistical Area",99999,,1,0,5107,,D,,,,5800 Harbour Ln,,Midlothian,VA,23112,2101,,23112,99,9,23112210199,H,1SUD,,,2,,,N,,80% Overall probable correctness,37.415916,-77.648419,S,,R,U,** Street-Level Rooftop **,51041,5109248,51041101007,510411010073,,,0,,,,,,,,,,,2059/11/01 00:00:00+00,,,,,2021/07/01 00:00:00+00,2020/12/31 00:00:00+00,,,,2020/01/31 00:00:00+00,2020/07/19 10:25:35+00,2020/02/20 10:58:42+00,,19995000,0,2018/03/29 00:00:00+00,0,0,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2022/01/06 19:10:36+00,-4,-4
-77.4372,37.3452999990001,9896,800243376,51041,Baltimore,Baltimore,KENRITIA D COATS,Moore's Lake Apartments,12111 Moore's Lake Road,,Y,04,Chester,0,200,804-461-3883,Insured-Unsubsidized,FAM,Indv. families - not eld/ handicap,Family,0,,83 - Green*,1,None,Y,12/31,Y,Insured,N,N,Y,N,N,N,N,05135725,05135725,,N,Low,,0,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,N,N,,N,N,N,N,Y,N,,,0,0,0,0,S 221(d)(4),,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05135725,,OMI,,221d4 NC/SR,,N,,1,51,Chesterfield,041,100505,,,Chesterfield,041,90248,Bermuda,16096,Chester CDP,U1,,9999,,40060,"Richmond, VA Metropolitan Statistical Area",99999,,1,0,5104,0294,,,,,,,Richmond,VA,23831,,,23831,11,,,,,,H,,,,,H,House # not found on this street,37.3453,-77.4372,5,S,T,U,**  Centroid Lat/Long   **,51041,5116096,51041100505,,,,0,,,,,,,,,,,2059/07/01 00:00:00+00,,,,,2021/08/27 00:00:00+00,2020/12/31 00:00:00+00,,,,2019/01/31 00:00:00+00,2020/07/19 10:25:35+00,2021/03/05 11:33:02+00,,29147500,200,2017/08/31 00:00:00+00,0,0,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2022/01/06 19:10:36+00,-4,-4
-77.7730999999999,37.4198999990001,9903,800245567,51041,Baltimore,Baltimore,BARBARA W BRADBY,Magnolia Green Apts.,7630 Magnolia Green Parkway,,Y,07,,0,248,804-215-3045,Insured-Unsubsidized,FE,Family & Elderly,Family,0,,,0,,N,12/31,Y,Insured,N,N,Y,N,N,N,N,05135746,05135746,,P,Low,,1,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,N,N,,N,N,N,N,N,N,,,0,0,0,0,S 221(d)(4),,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05135746,,OMI,,221d4 NC/SR,,N,,1,51,Chesterfield,041,101003,,,Chesterfield,041,94575,Matoaca,99999,Remainder of Matoaca district,99,,9999,,40060,"Richmond, VA Metropolitan Statistical Area",99999,,1,0,5107,,,,,,,,Moseley,VA,23120,,,23120,30,,,,,,S,,,,,S,Street not found,37.4199,-77.7731,5,H,T,R,**  Centroid Lat/Long   **,51041,5199999,51041101003,,,,0,,,,,,,,,,,2061/02/01 00:00:00+00,,,,,,,,,,2020/06/30 00:00:00+00,2019/03/05 08:30:25+00,2021/08/23 18:42:35+00,,35107400,248,2019/02/27 00:00:00+00,0,0,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2022/01/06 19:10:36+00,-4,-4
