address,county,state,zip,name,status,units,style,star,market,yearbuilt,yearreno,buildings,zoning,stories,vacancyrate,avgsf,avgasking,avgeffective,renttype
5002 Alan Dr,Chesterfield,VA,23234,Shady Oaks,Existing,16,Garden,2,Richmond,1975,,8,R-7,1,3.91,,762,758,Market
2507 Alcott Rd,Chesterfield,VA,23237,Huntwood Apartments,Existing,48,Single-Family Home,2,Richmond,1974,,7,C-3,1,3.91,500,623,620,Market
9111 N Arch Village Ct,Chesterfield,VA,23236,North Arch Village,Existing,128,Garden,2,Richmond,1973,,8,R-7,2,0.74,952,1241,1241,Market
6533 S Beulah Rd,Chesterfield,VA,23237-1070,,Existing,24,Low-Rise,2,Richmond,1965,,3,A,2,6.58,511,,,Market
725 Boulder Springs Dr,Chesterfield,VA,23225,Birchwood at Boulders Apartments,Existing,284,Garden,3,Richmond,1986,,22,R7,3,4.98,1104,1599,1589,Market
500 Bristol Village Dr,Chesterfield,VA,23114,Bristol Village at Charter Colony,Existing,142,Garden,3,Richmond,2005,,11,R9,3,0.47,1132,1522,1522,Market
1301 Buckingham Station Dr,Chesterfield,VA,23113,Old Buckingham Station,Existing,360,Garden,3,Richmond,1988,,14,R7,3,5.02,1027,1618,1618,Market
12051 Chestertowne Rd,Chesterfield,VA,23831,Chester Townhomes,Existing,152,Garden,2,Richmond,1969,,18,R7,2,,874,1256,1253,Market
5201-5223 Collindale Rd,Chesterfield,VA,23234,Collindale Apartments,Existing,20,Garden,2,Richmond,1964,1990,6,R7,2,3.91,950,804,800,Market
10200 Colony Village Way,Chesterfield,VA,23237-3374,Colony Village II,Existing,166,Low-Rise,3,Richmond,2018,,3,,2,3.4,836,1300,1293,Market
1500 Concord Ave,Chesterfield,VA,23834-3059,Concord Apartments,Existing,32,Low-Rise,2,Richmond,1985,,1,R4,2,,1000,809,807,Market
4201 Creek Way,Chesterfield,VA,23831,Ashton Creek,Existing,232,Garden,3,Richmond,1990,,25,RMF,2,3.64,1004,1578,1569,Market
13504 Evelyn Dr,Chesterfield,VA,23831-5235,Laketree Manor Apartments,Existing,50,Garden,3,Richmond,1973,,7,R7,2,6.01,827,1132,1124,Market
3524 Festival Park Plz,Chesterfield,VA,23831,Festival Park Apartments,Existing,99,Garden,3,Richmond,2004,,9,C3,2,4.01,1036,1646,1646,Market
4300-4318 Fountain Square Dr,Chesterfield,VA,23831,Fountain Square,Existing,37,Low-Rise,3,Richmond,2017,,1,C-3,2,,749,1117,1114,Market
2796 Goolsby Ave,Chesterfield,VA,23234-4436,Heritage Pointe Apartments,Existing,110,Garden,3,Richmond,1968,,6,R7,2,0.73,888,1028,1025,Market
5520-5620 Handel Ct,Chesterfield,VA,23234,Pocoshock Ridge Apartments,Existing,156,Garden,2,Richmond,1989,,9,,2,3.91,895,,,Market
5200 Hunt Master Dr,Chesterfield,VA,23112,Hunter's Chase Apartments,Existing,320,Garden,3,Richmond,1986,,12,R9,3,4.38,816,1535,1534,Market
4223 Hyde Park Dr,Chesterfield,VA,23831,Hyde Park Townhomes,Existing,262,Garden,3,Richmond,1974,,40,R7,3,8.45,1138,1406,1394,Market
