address,county,state,zip,name,status,units,style,star,market,yearbuilt,yearreno,buildings,zoning,stories,vacancyrate,avgsf,avgasking,avgeffective,renttype,Latitude,Longitude,formatted_address,accuracy,accuracy_type,source,address_components.number,address_components.street,address_components.suffix,address_components.formatted_street,address_components.city,address_components.county,address_components.state,address_components.zip,address_components.country,address_components.predirectional
5002 Alan Dr,Chesterfield,VA,23234,Shady Oaks,Existing,16,Garden,2,Richmond,1975,NA,8,R-7,1,3.91,NA,762,758,Market,37.453839,-77.446907,"5002 Alan Dr, North Chesterfield, VA 23234",0.9,rooftop,Virginia Geographic Information Network (VGIN),5002,Alan,Dr,Alan Dr,North Chesterfield,Chesterfield County,VA,23234,US,NA
2507 Alcott Rd,Chesterfield,VA,23237,Huntwood Apartments,Existing,48,Single-Family Home,2,Richmond,1974,NA,7,C-3,1,3.91,500,623,620,Market,37.423115,-77.43255,"2507 Alcott Rd, North Chesterfield, VA 23237",0.9,rooftop,Virginia Geographic Information Network (VGIN),2507,Alcott,Rd,Alcott Rd,North Chesterfield,Chesterfield County,VA,23237,US,NA
9111 N Arch Village Ct,Chesterfield,VA,23236,North Arch Village,Existing,128,Garden,2,Richmond,1973,NA,8,R-7,2,0.74,952,1241,1241,Market,37.495198,-77.567341,"9111 N Arch Village Ct, North Chesterfield, VA 23236",0.9,range_interpolation,TIGER/Line® dataset from the US Census Bureau,9111,Arch Village,Ct,N Arch Village Ct,North Chesterfield,Chesterfield County,VA,23236,US,N
6533 S Beulah Rd,Chesterfield,VA,23237-1070,NA,Existing,24,Low-Rise,2,Richmond,1965,NA,3,A,2,6.58,511,NA,NA,Market,37.433856,-77.45632,"6533 S Beulah Rd, North Chesterfield, VA 23237",0.9,range_interpolation,TIGER/Line® dataset from the US Census Bureau,6533,Beulah,Rd,S Beulah Rd,North Chesterfield,Chesterfield County,VA,23237,US,S
725 Boulder Springs Dr,Chesterfield,VA,23225,Birchwood at Boulders Apartments,Existing,284,Garden,3,Richmond,1986,NA,22,R7,3,4.98,1104,1599,1589,Market,37.504093,-77.533008,"725 Boulder Springs Dr, North Chesterfield, VA 23225",0.9,range_interpolation,TIGER/Line® dataset from the US Census Bureau,725,Boulder Springs,Dr,Boulder Springs Dr,North Chesterfield,Chesterfield County,VA,23225,US,NA
500 Bristol Village Dr,Chesterfield,VA,23114,Bristol Village at Charter Colony,Existing,142,Garden,3,Richmond,2005,NA,11,R9,3,0.47,1132,1522,1522,Market,37.491998,-77.656694,"500 Bristol Village Dr, Midlothian, VA 23114",0.9,rooftop,Virginia Geographic Information Network (VGIN),500,Bristol Village,Dr,Bristol Village Dr,Midlothian,Chesterfield County,VA,23114,US,NA
1301 Buckingham Station Dr,Chesterfield,VA,23113,Old Buckingham Station,Existing,360,Garden,3,Richmond,1988,NA,14,R7,3,5.02,1027,1618,1618,Market,37.506239,-77.642181,"1301 Buckingham Station Dr, Midlothian, VA 23113",0.9,rooftop,Virginia Geographic Information Network (VGIN),1301,Buckingham Station,Dr,Buckingham Station Dr,Midlothian,Chesterfield County,VA,23113,US,NA
12051 Chestertowne Rd,Chesterfield,VA,23831,Chester Townhomes,Existing,152,Garden,2,Richmond,1969,NA,18,R7,2,NA,874,1256,1253,Market,37.357614,-77.449127,"12051 Chestertowne Rd, Chester, VA 23831",0.9,rooftop,Virginia Geographic Information Network (VGIN),12051,Chestertowne,Rd,Chestertowne Rd,Chester,Chesterfield County,VA,23831,US,NA
5201-5223 Collindale Rd,Chesterfield,VA,23234,Collindale Apartments,Existing,20,Garden,2,Richmond,1964,1990,6,R7,2,3.91,950,804,800,Market,37.452282,-77.444523,"5223 Collindale Rd, North Chesterfield, VA 23234",0.8,nearest_rooftop_match,Virginia Geographic Information Network (VGIN),5223,Collindale,Rd,Collindale Rd,North Chesterfield,Chesterfield County,VA,23234,US,NA
10200 Colony Village Way,Chesterfield,VA,23237-3374,Colony Village II,Existing,166,Low-Rise,3,Richmond,2018,NA,3,NA,2,3.4,836,1300,1293,Market,37.386801,-77.427484,"10200 Colony Village Way, North Chesterfield, VA 23237",0.9,rooftop,Virginia Geographic Information Network (VGIN),10200,Colony Village,Way,Colony Village Way,North Chesterfield,Chesterfield County,VA,23237,US,NA
1500 Concord Ave,Chesterfield,VA,23834-3059,Concord Apartments,Existing,32,Low-Rise,2,Richmond,1985,NA,1,R4,2,NA,1000,809,807,Market,37.255225,-77.415743,"1500 Concord Ave, Colonial Heights, VA 23834",0.9,rooftop,Virginia Geographic Information Network (VGIN),1500,Concord,Ave,Concord Ave,Colonial Heights,Chesterfield County,VA,23834,US,NA
4201 Creek Way,Chesterfield,VA,23831,Ashton Creek,Existing,232,Garden,3,Richmond,1990,NA,25,RMF,2,3.64,1004,1578,1569,Market,37.34374,-77.441944,"4201 Creek Way, Chester, VA 23831",0.9,rooftop,Virginia Geographic Information Network (VGIN),4201,Creek,Way,Creek Way,Chester,Chesterfield County,VA,23831,US,NA
13504 Evelyn Dr,Chesterfield,VA,23831-5235,Laketree Manor Apartments,Existing,50,Garden,3,Richmond,1973,NA,7,R7,2,6.01,827,1132,1124,Market,37.340547,-77.416142,"13504 Evelyn Dr, Chester, VA 23831",0.9,rooftop,Virginia Geographic Information Network (VGIN),13504,Evelyn,Dr,Evelyn Dr,Chester,Chesterfield County,VA,23831,US,NA
