Family Type,Adult(s),Infant(s),Preshooler(s),Schoolager(s),Teenager(s),State ,Year,All Families Table #,County,Housing Costs,Child Care Costs,Food Costs ,Transportation Costs,Health Care Costs ,Miscellaneous costs,Taxes,Earned Income Tax Credit (-),Child Care Tax Credit (-),Child Tax Credit (-),Hourly Self-Sufficiency Wage                           ,Monthly Self-Sufficiency Wage                           ,Annual Self-Sufficiency Wage                           ,Emergency Savings
a1i0p0s0t0,1,0,0,0,0,VA,2021,26,Chesterfield County,1109.83,0,276.21,293.45,212.46,189.2,478.08,0,0,0,14.54,2559.23,30710.73,63.87
a1i1p0s0t0,1,1,0,0,0,VA,2021,26,Chesterfield County,1265.53,1098.45,410.54,301.9,649.82,372.63,991.18,0,-50,-166.67,27.69,4873.39,58480.72,127.59
a1i0p1s0t0,1,0,1,0,0,VA,2021,26,Chesterfield County,1265.53,1013.03,417.85,301.9,638.44,363.67,957.23,0,-50,-166.67,26.94,4740.98,56891.77,124.72
a1i0p0s1t0,1,0,0,1,0,VA,2021,26,Chesterfield County,1265.53,543.2,497.47,301.9,660.62,326.87,819.27,0,-50,-166.67,23.85,4198.2,50378.45,112.97
a1i0p0s0t1,1,0,0,0,1,VA,2021,26,Chesterfield County,1265.53,0,523.8,293.45,681.06,276.38,663.53,0,0,-166.67,20.1,3537.1,42445.16,95.78
a1i2p0s0t0,1,2,0,0,0,VA,2021,26,Chesterfield County,1265.53,2196.91,542.08,301.9,679.35,498.58,1431.34,0,-100,-333.33,36.83,6482.36,77788.36,200.1
a1i1p1s0t0,1,1,1,0,0,VA,2021,26,Chesterfield County,1265.53,2111.48,549.05,301.9,667.97,489.59,1376.67,0,-100,-333.33,35.96,6328.87,75946.47,194.99
a1i1p0s1t0,1,1,0,1,0,VA,2021,26,Chesterfield County,1265.53,1641.66,625.06,301.9,690.15,452.43,1204.3,0,-100,-333.33,32.66,5747.7,68972.36,181.33
a1i1p0s0t1,1,1,0,0,1,VA,2021,26,Chesterfield County,1265.53,1098.45,650.19,301.9,710.59,402.67,1014.99,0,-100,-333.33,28.47,5011,60132.02,141.07
a1i0p2s0t0,1,0,2,0,0,VA,2021,26,Chesterfield County,1265.53,2026.06,556.02,301.9,656.59,480.61,1322,0,-100,-333.33,35.09,6175.38,74104.57,191.55
a1i0p1s1t0,1,0,1,1,0,VA,2021,26,Chesterfield County,1265.53,1556.23,632.03,301.9,678.77,443.45,1170.2,0,-100,-333.33,31.9,5614.78,67377.37,178.01
a1i0p1s0t1,1,0,1,0,1,VA,2021,26,Chesterfield County,1265.53,1013.03,657.16,301.9,699.21,393.68,980.9,0,-100,-333.33,27.72,4878.09,58537.03,138.2
a1i0p0s2t0,1,0,0,2,0,VA,2021,26,Chesterfield County,1265.53,1086.4,708.03,301.9,700.95,406.28,1030.75,0,-100,-333.33,28.79,5066.52,60798.23,142.28
a1i0p0s1t1,1,0,0,1,1,VA,2021,26,Chesterfield County,1265.53,543.2,733.17,301.9,721.39,356.52,841.44,0,-100,-333.33,24.6,4329.82,51957.89,126.33
a1i0p0s0t2,1,0,0,0,2,VA,2021,26,Chesterfield County,1265.53,0,758.3,293.45,741.83,305.91,696.71,-70.57,0,-333.33,20.78,3657.84,43894.11,109.21
a1i3p0s0t0,1,3,0,0,0,VA,2021,26,Chesterfield County,1673.58,3295.36,659.32,301.9,708.89,663.9,2357.91,0,-100,-500,51.48,9060.86,108730.38,303.84
a1i2p1s0t0,1,2,1,0,0,VA,2021,26,Chesterfield County,1673.58,3209.94,665.96,301.9,697.51,654.89,2298.1,0,-100,-500,50.58,8901.87,106822.44,298.54
a1i2p0s1t0,1,2,0,1,0,VA,2021,26,Chesterfield County,1673.58,2740.11,738.34,301.9,719.69,617.36,2067.11,0,-100,-500,46.92,8258.09,99097.07,276.58
a1i2p0s0t1,1,2,0,0,1,VA,2021,26,Chesterfield County,1673.58,2196.91,762.28,301.9,740.13,567.48,1762.99,0,-100,-500,42.08,7405.26,88863.12,239.63
a1i1p2s0t0,1,1,2,0,0,VA,2021,26,Chesterfield County,1673.58,3124.51,672.59,301.9,686.13,645.87,2238.9,0,-100,-500,49.68,8743.48,104921.8,293.25
a1i1p1s1t0,1,1,1,1,0,VA,2021,26,Chesterfield County,1673.58,2654.68,744.98,301.9,708.31,608.35,2012.22,0,-100,-500,46.05,8104.02,97248.2,271.29
a1i1p1s0t1,1,1,1,0,1,VA,2021,26,Chesterfield County,1673.58,2111.48,768.92,301.9,728.75,558.46,1708.1,0,-100,-500,41.2,7251.19,87014.25,234.5
a1i1p0s2t0,1,1,0,2,0,VA,2021,26,Chesterfield County,1673.58,2184.86,817.37,301.9,730.49,570.82,1785.54,0,-100,-500,42.41,7464.55,89574.6,241.6
a1i1p0s1t1,1,1,0,1,1,VA,2021,26,Chesterfield County,1673.58,1641.66,841.3,301.9,750.93,520.94,1481.42,0,-100,-500,37.57,6611.72,79340.65,213.22
a1i1p0s0t2,1,1,0,0,2,VA,2021,26,Chesterfield County,1673.58,1098.45,865.24,301.9,771.37,471.05,1220.79,0,-100,-500,32.97,5802.38,69628.6,191.52
a1i0p3s0t0,1,0,3,0,0,VA,2021,26,Chesterfield County,1673.58,3039.08,679.23,301.9,674.74,636.85,2184.02,0,-100,-500,48.8,8589.41,103072.93,287.96
a1i0p2s1t0,1,0,2,1,0,VA,2021,26,Chesterfield County,1673.58,2569.26,751.62,301.9,696.93,599.33,1957.34,0,-100,-500,45.17,7949.94,95399.33,265.99
a1i0p2s0t1,1,0,2,0,1,VA,2021,26,Chesterfield County,1673.58,2026.06,775.55,301.9,717.36,549.45,1653.22,0,-100,-500,40.32,7097.12,85165.38,229.37
a1i0p1s2t0,1,0,1,2,0,VA,2021,26,Chesterfield County,1673.58,2099.43,824,301.9,719.11,561.8,1730.66,0,-100,-500,41.54,7310.48,87725.73,236.48
a1i0p1s1t1,1,0,1,1,1,VA,2021,26,Chesterfield County,1673.58,1556.23,847.94,301.9,739.55,511.92,1426.53,0,-100,-500,36.69,6457.65,77491.79,208.09
a1i0p1s0t2,1,0,1,0,2,VA,2021,26,Chesterfield County,1673.58,1013.03,871.88,301.9,759.98,462.04,1186.56,0,-100,-500,32.21,5668.96,68027.56,188.18
a1i0p0s3t0,1,0,0,3,0,VA,2021,26,Chesterfield County,1673.58,1629.6,896.39,301.9,741.29,524.28,1503.97,0,-100,-500,37.9,6671.01,80052.14,215.19
a1i0p0s2t1,1,0,0,2,1,VA,2021,26,Chesterfield County,1673.58,1086.4,920.33,301.9,761.73,474.39,1235.4,0,-100,-500,33.26,5853.73,70244.7,192.8
a1i0p0s1t2,1,0,0,1,2,VA,2021,26,Chesterfield County,1673.58,543.2,944.26,301.9,782.17,424.51,1045.59,0,-100,-500,29.06,5115.22,61382.6,150.97
a1i0p0s0t3,1,0,0,0,3,VA,2021,26,Chesterfield County,1673.58,0,968.2,293.45,802.61,373.78,925.15,0,0,-500,25.78,4536.77,54441.29,132.7
a1i4p0s0t0,1,4,0,0,0,VA,2021,26,Chesterfield County,1673.58,4393.82,762.25,301.9,738.42,787,3075.38,0,-100,-666.67,62.31,10965.68,131588.19,376.33
a1i3p1s0t0,1,3,1,0,0,VA,2021,26,Chesterfield County,1673.58,4308.39,768.55,301.9,727.04,777.95,3015.34,0,-100,-666.67,61.4,10806.09,129673.06,371.02
a1i3p0s1t0,1,3,0,1,0,VA,2021,26,Chesterfield County,1673.58,3838.56,837.32,301.9,749.22,740.06,2765.68,0,-100,-666.67,57.61,10139.66,121675.86,348.84
a1i3p0s0t1,1,3,0,0,1,VA,2021,26,Chesterfield County,1673.58,3295.36,860.06,301.9,769.66,690.06,2433.46,0,-100,-666.67,52.6,9257.42,111089.01,319.48
a1i2p2s0t0,1,2,2,0,0,VA,2021,26,Chesterfield County,1673.58,4222.97,774.86,301.9,715.66,768.9,2955.3,0,-100,-666.67,60.49,10646.49,127757.93,365.71
a1i2p1s1t0,1,2,1,1,0,VA,2021,26,Chesterfield County,1673.58,3753.14,843.63,301.9,737.84,731.01,2705.63,0,-100,-666.67,56.7,9980.06,119760.73,343.53
a1i2p1s0t1,1,2,1,0,1,VA,2021,26,Chesterfield County,1673.58,3209.94,866.37,301.9,758.28,681.01,2373.42,0,-100,-666.67,51.69,9097.82,109173.88,314.16
a1i2p0s2t0,1,2,0,2,0,VA,2021,26,Chesterfield County,1673.58,3283.31,912.39,301.9,760.02,693.12,2455.97,0,-100,-666.67,52.92,9313.63,111763.53,321.35
a1i2p0s1t1,1,2,0,1,1,VA,2021,26,Chesterfield County,1673.58,2740.11,935.13,301.9,780.46,643.12,2134,0,-100,-666.67,47.96,8441.64,101299.69,291.98
a1i2p0s0t2,1,2,0,0,2,VA,2021,26,Chesterfield County,1673.58,2196.91,957.87,301.9,800.9,593.12,1829.1,0,-100,-666.67,43.11,7586.72,91040.6,262.62
a1i1p3s0t0,1,1,3,0,0,VA,2021,26,Chesterfield County,1673.58,4137.54,781.17,301.9,704.28,759.85,2895.26,0,-100,-666.67,59.58,10486.9,125842.8,360.4
a1i1p2s1t0,1,1,2,1,0,VA,2021,26,Chesterfield County,1673.58,3667.71,849.93,301.9,726.46,721.96,2645.59,0,-100,-666.67,55.8,9820.47,117845.6,338.22
a1i1p2s0t1,1,1,2,0,1,VA,2021,26,Chesterfield County,1673.58,3124.51,872.67,301.9,746.9,671.96,2313.38,0,-100,-666.67,50.79,8938.23,107258.75,308.85
a1i1p1s2t0,1,1,1,2,0,VA,2021,26,Chesterfield County,1673.58,3197.88,918.7,301.9,748.64,684.07,2395.92,0,-100,-666.67,52.01,9154.03,109848.4,316.03
a1i1p1s1t1,1,1,1,1,1,VA,2021,26,Chesterfield County,1673.58,2654.68,941.44,301.9,769.08,634.07,2078.9,0,-100,-666.67,47.09,8286.99,99443.85,286.67
a1i1p1s0t2,1,1,1,0,2,VA,2021,26,Chesterfield County,1673.58,2111.48,964.18,301.9,789.52,584.07,1774,0,-100,-666.67,42.23,7432.06,89184.76,252.72
a1i1p0s3t0,1,1,0,3,0,VA,2021,26,Chesterfield County,1673.58,2728.06,987.47,301.9,770.82,646.18,2154.77,0,-100,-666.67,48.27,8496.11,101953.32,293.85
a1i1p0s2t1,1,1,0,2,1,VA,2021,26,Chesterfield County,1673.58,2184.86,1010.21,301.9,791.26,596.18,1849.87,0,-100,-666.67,43.42,7641.19,91694.24,264.49
a1i1p0s1t2,1,1,0,1,2,VA,2021,26,Chesterfield County,1673.58,1641.66,1032.95,301.9,811.7,546.18,1544.97,0,-100,-666.67,38.56,6786.26,81435.15,227.84
a1i1p0s0t3,1,1,0,0,3,VA,2021,26,Chesterfield County,1673.58,1098.45,1055.69,301.9,832.14,496.18,1260.44,0,-100,-666.67,33.82,5951.71,71420.56,204.07
a1i0p4s0t0,1,0,4,0,0,VA,2021,26,Chesterfield County,1673.58,4052.11,787.47,301.9,692.9,750.8,2835.22,0,-100,-666.67,58.68,10327.31,123927.67,355.09
a1i0p3s1t0,1,0,3,1,0,VA,2021,26,Chesterfield County,1673.58,3582.29,856.24,301.9,715.08,712.91,2585.55,0,-100,-666.67,54.89,9660.87,115930.47,332.9
a1i0p3s0t1,1,0,3,0,1,VA,2021,26,Chesterfield County,1673.58,3039.08,878.98,301.9,735.52,662.91,2253.34,0,-100,-666.67,49.88,8778.63,105343.62,303.54
a1i0p2s2t0,1,0,2,2,0,VA,2021,26,Chesterfield County,1673.58,3112.46,925.01,301.9,737.26,675.02,2335.88,0,-100,-666.67,51.1,8994.44,107933.26,310.72
a1i0p2s1t1,1,0,2,1,1,VA,2021,26,Chesterfield County,1673.58,2569.26,947.75,301.9,757.7,625.02,2023.8,0,-100,-666.67,46.21,8132.33,97588.01,281.36
a1i0p2s0t2,1,0,2,0,2,VA,2021,26,Chesterfield County,1673.58,2026.06,970.49,301.9,778.14,575.02,1718.9,0,-100,-666.67,41.35,7277.41,87328.93,244.19
a1i0p1s3t0,1,0,1,3,0,VA,2021,26,Chesterfield County,1673.58,2642.63,993.77,301.9,759.44,637.13,2099.67,0,-100,-666.67,47.39,8341.46,100097.48,288.54
