period,0_rent,1_rent,2_rent,3_rent,0_adj,1_adj,2_adj,3_adj
2022 Q2,2251,1301,1489,1708,2251,1301,1489,1709
2022 Q1,2243,1279,1468,1688,2300,1311,1505,1731
2021 Q4,2212,1245,1408,1668,2316,1304,1475,1747
2021 Q3,2184,1235,1422,1662,2330,1318,1517,1774
2021 Q2,2239,1195,1383,1631,2428,1296,1500,1769
2021 Q1,2294,1136,1298,1540,2538,1256,1436,1703
2020 Q4,2349,1098,1261,1498,2626,1227,1409,1674
2020 Q3,2405,1091,1246,1490,2702,1226,1401,1674
2020 Q2,2404,1074,1224,1464,2733,1222,1392,1664
2020 Q1,2404,1055,1199,1407,2710,1189,1351,1586
2019 Q4,2383,1045,1179,1386,2695,1182,1333,1568
2019 Q3,2320,1044,1183,1397,2640,1188,1346,1590
2019 Q2,2258,1049,1182,1408,2578,1198,1350,1608
2019 Q1,2195,1039,1168,1375,2526,1196,1344,1582
2018 Q4,2132,1021,1142,1339,2460,1178,1318,1545
2018 Q3,2068,1013,1145,1345,2394,1173,1326,1558
2018 Q2,2009,1013,1142,1343,2337,1179,1328,1562
2018 Q1,1940,996,1125,1309,2269,1165,1316,1531
2017 Q4,1877,976,1102,1299,2214,1151,1299,1532
2017 Q3,1815,967,1103,1298,2157,1149,1310,1543
2017 Q2,1751,962,1083,1280,2091,1149,1294,1529
2017 Q1,1728,954,1071,1272,2067,1141,1280,1521
2016 Q4,1751,942,1055,1247,2108,1134,1270,1501
2016 Q3,1737,934,1051,1237,2105,1132,1273,1498
2016 Q2,1727,927,1044,1235,2101,1128,1270,1503
2016 Q1,1707,921,1041,1232,2094,1129,1277,1512
2015 Q4,1699,912,1027,1214,2082,1118,1259,1487
2015 Q3,1686,908,1025,1206,2067,1112,1256,1479
2015 Q2,1672,906,1020,1193,2057,1115,1255,1468
2015 Q1,1664,897,1011,1180,2061,1112,1252,1462
2014 Q4,1654,884,992,1165,2036,1088,1221,1434
2014 Q3,1642,877,987,1166,2015,1077,1211,1431
2014 Q2,1623,871,982,1159,1997,1072,1208,1426
2014 Q1,1619,867,976,1150,2003,1073,1207,1423
2013 Q4,1613,862,971,1138,2008,1073,1209,1416
2013 Q3,1605,858,966,1126,2005,1073,1208,1407
2013 Q2,1597,853,961,1121,2006,1072,1207,1409
2013 Q1,1594,844,952,1112,2000,1059,1195,1395
2012 Q4,1588,833,942,1110,2001,1050,1187,1399
2012 Q3,1578,832,938,1107,2001,1056,1189,1405
2012 Q2,1571,831,934,1104,2001,1059,1190,1406
2012 Q1,1564,828,930,1098,1996,1057,1188,1402
2011 Q4,1560,826,927,1096,2004,1061,1190,1407
2011 Q3,1556,823,921,1091,2007,1062,1188,1407
2011 Q2,1552,821,920,1088,2015,1066,1194,1412
2011 Q1,1549,820,919,1088,2033,1077,1207,1428
2010 Q4,1560,826,925,1095,2070,1096,1227,1452
2010 Q3,1595,842,942,1115,2134,1126,1261,1491
2010 Q2,1598,843,943,1116,2144,1131,1265,1497
2010 Q1,1585,837,937,1109,2125,1123,1257,1487
2009 Q4,1584,837,937,1109,2128,1125,1259,1490
2009 Q3,1598,843,944,1116,2163,1141,1277,1511
2009 Q2,1596,842,943,1115,2179,1150,1287,1523
2009 Q1,1584,837,937,1109,2174,1149,1287,1522
2008 Q4,1598,843,944,1117,2178,1149,1287,1522
2008 Q3,1612,850,951,1125,2147,1132,1267,1499
2008 Q2,1614,851,952,1127,2183,1151,1288,1524
2008 Q1,1605,847,948,1121,2199,1160,1299,1536
2007 Q4,1600,845,945,1118,2217,1170,1309,1549
2007 Q3,1604,846,947,1120,2248,1186,1327,1571
2007 Q2,1598,843,943,1117,2255,1190,1330,1575
2007 Q1,1580,834,933,1105,2254,1190,1331,1576
2006 Q4,1568,828,926,1097,2260,1194,1335,1581
2006 Q3,1562,825,923,1093,2242,1184,1325,1569
2006 Q2,1546,817,914,1082,2240,1183,1323,1568
2006 Q1,1518,803,898,1064,2219,1173,1313,1555
2005 Q4,1502,794,889,1053,2206,1167,1306,1547
2005 Q3,1501,794,888,1052,2225,1177,1317,1560
2005 Q2,1490,788,881,1044,2242,1186,1327,1572
2005 Q1,1474,780,873,1034,2234,1182,1322,1567
2004 Q4,1475,780,873,1034,2247,1189,1330,1575
2004 Q3,1484,785,878,1040,2285,1208,1351,1601
2004 Q2,1474,779,872,1033,2283,1208,1351,1600
2004 Q1,1454,769,860,1019,2270,1201,1343,1591
2003 Q4,1456,770,861,1020,2293,1213,1356,1607
2003 Q3,1471,778,870,1030,2324,1229,1375,1629
2003 Q2,1483,784,877,1039,2362,1249,1397,1655
2003 Q1,1489,787,880,1043,2367,1252,1399,1658
2002 Q4,1489,788,881,1044,2392,1265,1415,1676
2002 Q3,1481,783,876,1037,2392,1265,1415,1676
2002 Q2,1502,794,888,1052,2439,1290,1442,1709
2002 Q1,1511,799,893,1058,2473,1308,1462,1732
2001 Q4,1497,792,885,1049,2459,1301,1454,1723
2001 Q3,1459,771,863,1022,2394,1266,1417,1678
2001 Q2,1428,755,845,1001,2351,1243,1391,1648
2001 Q1,1395,738,826,978,2312,1223,1369,1621
2000 Q4,1382,731,819,970,2313,1223,1370,1622
2000 Q3,1374,727,814,964,2316,1225,1371,1624
2000 Q2,1364,721,808,957,2319,1227,1374,1627
2000 Q1,1352,715,801,948,2318,1226,1373,1626
