Period,Studio,1 Bed,2 Beds,3 Beds
2022 Q1,862,1108,1275,1462
2021 Q4,856,1078,1236,1446
2021 Q3,852,1104,1238,1458
2021 Q2,847,1083,1221,1400
2021 Q1,846,1022,1157,1338
2020 Q4,845,970,1116,1318
2020 Q3,844,960,1103,1304
2020 Q2,838,946,1071,1281
2020 Q1,835,920,1044,1232
2019 Q4,832,918,1043,1216
2019 Q3,829,919,1047,1227
2019 Q2,828,920,1030,1231
2019 Q1,825,914,1023,1201
2018 Q4,822,898,995,1184
2018 Q3,802,893,996,1186
2018 Q2,837,888,993,1178
2018 Q1,770,877,980,1152
2017 Q4,769,848,953,1126
2017 Q3,765,835,949,1127
2017 Q2,760,841,927,1122
2017 Q1,755,820,917,1127
2016 Q4,751,803,901,1096
2016 Q3,747,800,895,1076
2016 Q2,740,795,899,1083
2016 Q1,732,789,899,1086
2015 Q4,724,775,871,1054
2015 Q3,720,775,864,1040
2015 Q2,713,777,864,1030
2015 Q1,705,759,852,1018
2014 Q4,700,747,831,994
2014 Q3,702,742,830,991
2014 Q2,699,738,830,988
2014 Q1,694,735,825,986
2013 Q4,692,735,828,980
2013 Q3,690,730,823,972
2013 Q2,689,721,817,966
2013 Q1,684,712,806,959
2012 Q4,688,708,801,962
2012 Q3,665,712,795,965
2012 Q2,663,714,792,965
2012 Q1,658,709,788,958
2011 Q4,656,706,784,955
2011 Q3,653,702,774,948
2011 Q2,651,701,775,946
2011 Q1,649,701,775,948
2010 Q4,654,704,779,952
2010 Q3,669,716,792,967
2010 Q2,670,717,791,967
2010 Q1,664,713,788,963
2009 Q4,664,714,789,963
2009 Q3,670,717,793,968
2009 Q2,669,717,793,968
2009 Q1,664,713,788,963
2008 Q4,670,718,793,969
2008 Q3,676,723,799,976
2008 Q2,677,724,800,977
2008 Q1,673,721,796,973
2007 Q4,671,720,794,971
2007 Q3,672,721,795,972
2007 Q2,670,718,792,969
2007 Q1,663,711,784,959
2006 Q4,658,707,779,953
2006 Q3,655,704,776,950
2006 Q2,648,697,768,940
2006 Q1,637,685,756,925
2005 Q4,630,678,749,916
2005 Q3,629,677,747,914
2005 Q2,624,672,742,908
2005 Q1,618,666,735,899
2004 Q4,619,666,735,899
2004 Q3,622,670,738,904
2004 Q2,618,665,733,898
2004 Q1,610,656,724,886
2003 Q4,610,657,725,887
2003 Q3,617,664,732,895
2003 Q2,622,669,738,903
2003 Q1,624,672,740,906
2002 Q4,624,672,741,907
2002 Q3,621,668,737,902
2002 Q2,630,678,747,914
2002 Q1,633,682,751,919
2001 Q4,628,676,745,911
2001 Q3,612,658,726,889
2001 Q2,599,645,711,871
2001 Q1,585,630,695,851
2000 Q4,579,624,689,844
2000 Q3,576,620,685,839
2000 Q2,572,616,680,832
2000 Q1,567,610,674,825
