Property Address,County Name,State,Zip,Property Name,Building Status,Number Of Units,Style,Star Rating,Market Name,Year Built,Year Renovated,Building Park,Total Buildings,Zoning,Number Of Stories,$Price/Unit,Vacancy %,Avg Unit SF,Avg Asking/Unit,Avg Effective/Unit,Rent Type,Affordable Type,Market Segment,Amenities,Developer Name,Owner Name,Number Of 1 Bedrooms Units,Number Of 2 Bedrooms Units,Number Of 3 Bedrooms Units,Number Of 4 Bedrooms Units,Number Of Studios Units,Latitude,Longitude
6700 Iron Creek Rd,Chesterfield,VA,23831-1483,Ironbridge Road Apartments,Existing,80,Garden,3,Richmond,2016,,,5,C3,2,,12.5,885.00,822,814,Affordable,Affordable Units,All,"24 Hour Access, Air Conditioning, Clubhouse, Laundry Facilities, Property Manager on Site, Wi-Fi, Maintenance on site, Grill",Surber Development and Consulting,"GEM Management, LLC",16,64,,,,37.361904,-77.495388
21203 Orange Hill Ave,Chesterfield,VA,23803-1921,,Existing,2,Low-Rise,2,Richmond,1965,2008,,,R-7,2,,2.2,800.00,,,Market/Affordable,Affordable Units,All,"Air Conditioning, Family Room",,,,2,,,,37.236272,-77.425362
6850 Arbor Lake Dr,Chesterfield,VA,23831,Arbor Lake Apartments,Existing,126,Garden,3,Richmond,1996,,,6,R7,3,,0.8,875.00,"1,266","1,262",Affordable,Rent Restricted,All,"Air Conditioning, Clubhouse, Fitness Center, Playground, Property Manager on Site, Package Service, Storage Space, Maintenance on site, Sundeck, Breakfast Nook",,The Franklin Johnston Group,24,68,34,,,37.355749,-77.491532
2800 Bensley Commons Blvd,Chesterfield,VA,23237-1726,Winchester Greens Apartments,Existing,240,Garden,3,Richmond,2000,,,42,R12,2,,2.1,"1,186.00",973,969,Affordable,Rent Restricted,All,"Air Conditioning, Wheelchair Accessible (Rooms)",,Better Housing Coalition,,64,176,,,37.4236177,-77.4418739
7101 Bensley Commons Blvd,Chesterfield,VA,23237,"Market Square I, II, and III",Existing,174,Garden,4,Richmond,2006,,,5,,3,,1.2,801.00,"1,248","1,243",Affordable,Rent Restricted,Senior,"Air Conditioning, Wheelchair Accessible (Rooms)",,Better Housing Coalition,71,103,,,,37.4245944,-77.4415003
4800 Burnt Oak Cir,Chesterfield,VA,23234-2973,The Bend at 4800,Existing,248,Mid-Rise,4,Richmond,2002,,,11,RMF,4,,2.8,"1,049.00","1,408","1,402",Affordable,Rent Restricted,All,"Air Conditioning, Clubhouse, Fitness Center, Picnic Area, Playground, Basketball Court, Wheelchair Accessible (Rooms)",,Beachwold Residential,,122,126,,,37.4531865,-77.4897209
550 Coalfield Rd,Chesterfield,VA,23114,Atlantic at Charter Colony,Existing,113,Mid-Rise,4,Richmond,2006,,,1,R9,4,,0.0,739.00,"1,003","1,000",Affordable,Rent Restricted,Senior,"Air Conditioning, Business Center, Clubhouse, Laundry Facilities, Property Manager on Site, Gated, Tanning Salon, Laundry Service, Planned Social Activities, Wheelchair Accessible (Rooms)",,"CMB Development, LLC",71,42,,,,37.493428,-77.655475
700 Colton Creek Rd,Chesterfield,VA,23113,Brook Creek Crossings,Existing,70,Low-Rise,3,Richmond,2014,,,2,R9,3,,,"1,059.00",870,867,Affordable,Rent Restricted,All,"24 Hour Access, Air Conditioning, Business Center, Clubhouse, Fitness Center, Playground, Pool, Breakfast/Coffee Concierge, Breakfast Nook",LDG Development,LDG Development,6,40,24,,,37.516829,-77.68487
14600 Creekpointe Cir,Chesterfield,VA,23114,Creekpointe Apartments,Existing,214,Garden,3,Richmond,2003,,,16,O2,3,,3.7,"1,154.00","1,223","1,223",Affordable,Rent Restricted,All,"Air Conditioning, Clubhouse, Fitness Center, Pool, Laundry Service, Sundeck, Dining Room, Patio, Wheelchair Accessible (Rooms)",,Peak Capital Partners,,94,120,,,37.466216,-77.6750341
6110 Cricklewood Dr,Chesterfield,VA,23234,SouthPointe Landing Apartments,Existing,192,Garden,2,Richmond,1972,,,19,RMF,2,,5.2,"1,031.00",975,969,Affordable,Rent Restricted,All,"Air Conditioning, Laundry Facilities, Playground, Property Manager on Site, Package Service, Maintenance on site, Dining Room, Vinyl Flooring",,Hivernan Realty Group LLC,,160,32,,,37.443839,-77.448835
