period,rent,rent_adj
2022 Q2,"$1,478 ","$1,478 "
2022 Q1,"$1,457 ","$1,494 "
2021 Q4,"$1,412 ","$1,479 "
2021 Q3,"$1,415 ","$1,510 "
2021 Q2,"$1,377 ","$1,493 "
2021 Q1,"$1,298 ","$1,436 "
2020 Q4,"$1,260 ","$1,408 "
2020 Q3,"$1,249 ","$1,403 "
2020 Q2,"$1,228 ","$1,396 "
2020 Q1,"$1,199 ","$1,351 "
2019 Q4,"$1,182 ","$1,336 "
2019 Q3,"$1,185 ","$1,349 "
2019 Q2,"$1,188 ","$1,356 "
2019 Q1,"$1,172 ","$1,349 "
2018 Q4,"$1,147 ","$1,323 "
2018 Q3,"$1,147 ","$1,328 "
2018 Q2,"$1,144 ","$1,331 "
2018 Q1,"$1,125 ","$1,315 "
2017 Q4,"$1,104 ","$1,302 "
2017 Q3,"$1,102 ","$1,309 "
2017 Q2,"$1,087 ","$1,298 "
2017 Q1,"$1,076 ","$1,287 "
2016 Q4,"$1,060 ","$1,276 "
2016 Q3,"$1,053 ","$1,276 "
2016 Q2,"$1,048 ","$1,275 "
2016 Q1,"$1,044 ","$1,281 "
2015 Q4,"$1,031 ","$1,263 "
2015 Q3,"$1,027 ","$1,258 "
2015 Q2,"$1,021 ","$1,257 "
2015 Q1,"$1,012 ","$1,253 "
2014 Q4,$995 ,"$1,225 "
2014 Q3,$990 ,"$1,216 "
2014 Q2,$985 ,"$1,212 "
2014 Q1,$979 ,"$1,211 "
2013 Q4,$973 ,"$1,211 "
2013 Q3,$967 ,"$1,208 "
2013 Q2,$962 ,"$1,208 "
2013 Q1,$953 ,"$1,196 "
2012 Q4,$944 ,"$1,189 "
2012 Q3,$941 ,"$1,193 "
2012 Q2,$938 ,"$1,195 "
2012 Q1,$934 ,"$1,193 "
2011 Q4,$931 ,"$1,196 "
2011 Q3,$926 ,"$1,195 "
2011 Q2,$924 ,"$1,200 "
2011 Q1,$924 ,"$1,213 "
2010 Q4,$930 ,"$1,234 "
2010 Q3,$948 ,"$1,268 "
2010 Q2,$949 ,"$1,273 "
2010 Q1,$942 ,"$1,264 "
2009 Q4,$942 ,"$1,266 "
2009 Q3,$949 ,"$1,284 "
2009 Q2,$948 ,"$1,294 "
2009 Q1,$942 ,"$1,294 "
2008 Q4,$949 ,"$1,294 "
2008 Q3,$957 ,"$1,274 "
2008 Q2,$958 ,"$1,295 "
2008 Q1,$953 ,"$1,306 "
2007 Q4,$950 ,"$1,316 "
2007 Q3,$952 ,"$1,335 "
2007 Q2,$949 ,"$1,338 "
2007 Q1,$938 ,"$1,339 "
2006 Q4,$932 ,"$1,343 "
2006 Q3,$929 ,"$1,333 "
2006 Q2,$919 ,"$1,331 "
2006 Q1,$903 ,"$1,320 "
2005 Q4,$894 ,"$1,314 "
2005 Q3,$893 ,"$1,324 "
2005 Q2,$887 ,"$1,335 "
2005 Q1,$878 ,"$1,330 "
2004 Q4,$878 ,"$1,338 "
2004 Q3,$883 ,"$1,360 "
2004 Q2,$877 ,"$1,359 "
2004 Q1,$865 ,"$1,351 "
2003 Q4,$867 ,"$1,365 "
2003 Q3,$875 ,"$1,383 "
2003 Q2,$882 ,"$1,405 "
2003 Q1,$885 ,"$1,408 "
2002 Q4,$886 ,"$1,423 "
2002 Q3,$881 ,"$1,423 "
2002 Q2,$893 ,"$1,451 "
2002 Q1,$898 ,"$1,471 "
2001 Q4,$891 ,"$1,463 "
2001 Q3,$868 ,"$1,425 "
2001 Q2,$850 ,"$1,399 "
2001 Q1,$831 ,"$1,377 "
2000 Q4,$823 ,"$1,377 "
2000 Q3,$818 ,"$1,379 "
2000 Q2,$812 ,"$1,381 "
2000 Q1,$805 ,"$1,380 "
