period,rent,rent_adj
2022 Q2,1500,1500
2022 Q1,1498,1515
2021 Q4,1461,1512
2021 Q3,1419,1500
2021 Q2,1420,1531
2021 Q1,1379,1511
2020 Q4,1302,1455
2020 Q3,1267,1430
2020 Q2,1254,1423
2020 Q1,1234,1417
2019 Q4,1206,1373
2019 Q3,1188,1357
2019 Q2,1191,1369
2019 Q1,1194,1377
2018 Q4,1178,1370
2018 Q3,1152,1342
2018 Q2,1154,1349
2018 Q1,1148,1348
2017 Q4,1130,1334
2017 Q3,1110,1322
2017 Q2,1107,1329
2017 Q1,1093,1318
2016 Q4,1079,1303
2016 Q3,1064,1294
2016 Q2,1059,1296
2016 Q1,1053,1294
2015 Q4,1048,1298
2015 Q3,1033,1278
2015 Q2,1028,1273
2015 Q1,1023,1271
2014 Q4,1013,1267
2014 Q3,996,1238
2014 Q2,992,1229
2014 Q1,986,1225
2013 Q4,980,1225
2013 Q3,974,1224
2013 Q2,968,1222
2013 Q1,962,1221
2012 Q4,953,1208
2012 Q3,944,1202
2012 Q2,941,1205
2012 Q1,939,1208
2011 Q4,935,1206
2011 Q3,933,1210
2011 Q2,928,1209
2011 Q1,925,1213
2010 Q4,925,1226
2010 Q3,930,1247
2010 Q2,948,1281
2010 Q1,949,1286
2009 Q4,943,1277
2009 Q3,943,1279
2009 Q2,949,1298
2009 Q1,949,1308
2008 Q4,943,1307
2008 Q3,950,1308
2008 Q2,957,1288
2008 Q1,958,1309
2007 Q4,954,1320
2007 Q3,951,1330
2007 Q2,953,1349
2007 Q1,949,1353
2006 Q4,939,1353
2006 Q3,933,1357
2006 Q2,929,1347
2006 Q1,920,1346
2005 Q4,904,1334
2005 Q3,895,1328
2005 Q2,894,1339
2005 Q1,887,1349
2004 Q4,878,1344
2004 Q3,879,1352
2004 Q2,884,1374
2004 Q1,878,1373
2003 Q4,866,1365
2003 Q3,867,1379
2003 Q2,876,1398
2003 Q1,883,1420
2002 Q4,886,1423
2002 Q3,887,1439
2002 Q2,882,1439
2002 Q1,894,1467
2001 Q4,899,1487
2001 Q3,891,1478
2001 Q2,869,1440
2001 Q1,851,1414
2000 Q4,831,1391
2000 Q3,824,1392
2000 Q2,819,1394
2000 Q1,813,1396
,806,1395
