Property Address,County Name,State,Zip,Property Name,Building Status,Number Of Units,Style,Star Rating,Market Name,Year Built,Year Renovated,Building Park,Total Buildings,Zoning,Number Of Stories,$Price/Unit,Vacancy %,Avg Unit SF,Avg Asking/Unit,Avg Effective/Unit,Rent Type,Affordable Type,Market Segment,Latitude,Longitude
8500 Bethia Rd,Chesterfield,VA,23832,,Proposed,288,Mid-Rise,3,Richmond/Petersburg,2022,,,9,,5,,,,,,,,All,37.3879938,-77.6782917
1001 Boulders Springs Dr,Chesterfield,VA,23225,The Boulders Lakeview,Under Construction,212,Mid-Rise,4,Richmond/Petersburg,2023,,,6,O2,4,,,929.00,,,Market,,All,37.5105924,-77.5346073
14000 Center Pointe Pky,Chesterfield,VA,23114,Luxe 360,Under Construction,342,Low-Rise,4,Richmond/Petersburg,2022,,,2,,1,,,,,,Market,,All,37.4704738,-77.6614462
5401 Commonwealth Centre Pky,Chesterfield,VA,23112,Commonwealth Apartments,Under Construction,240,Mid-Rise,3,Richmond/Petersburg,2022,,,4,,4,,,992.00,"1,770","1,770",Market,,All,37.4161673,-77.6245689
Genito Rd,Chesterfield,VA,23112-6600,The Lake J and K,Proposed,750,Low-Rise,4,Richmond/Petersburg,2024,,,2,,2,,,600.00,,,Market,,All,37.4509959,-77.6398079
5250 Grandin Ave,Chesterfield,VA,23112,Watercrest Richmond,Under Construction,99,Low-Rise,4,Richmond/Petersburg,2022,,,1,,3,,,680.00,,,Market,,Senior,37.4259875,-77.6970496
Jefferson Davis Hwy,Chesterfield,VA,23237,Maple Woods Apartments,Proposed,92,Mid-Rise,3,Richmond/Petersburg,2023,,,1,,4,,,,,,,,All,37.4169455,-77.4357878
9200 Jefferson Davis Hwy,Chesterfield,VA,23237,Lambert Landing,Proposed,112,Low-Rise,3,Richmond/Petersburg,2022,,,1,,1,,,700.00,,,Market,,All,37.399948,-77.431476
1650 Mall Dr,Chesterfield,VA,23235,Mall Drive Apartments,Proposed,473,,4,Richmond/Petersburg,2023,,,10,,,,,751.00,,,Market,,All,37.5173148,-77.6071521
14291 Midlothian Tpke,Chesterfield,VA,23114,Midlothian West,Proposed,275,Low-Rise,4,Richmond/Petersburg,2023,,,1,C-3,3,,,,,,Market,,All,37.5036969,-77.669418
12231-12427 Old Buckingham Rd,Chesterfield,VA,23113,Coalfield Reserve,Proposed,310,,3,Richmond,2023,,,2,,,,,,,,Market,,All,37.509398,-77.62733
4101 Runner Loop,Chesterfield,VA,23831-4463,The Station,Under Construction,201,Mid-Rise,5,Richmond/Petersburg,2022,,,5,RMF,5,,,"1,040.00",,,Market,,All,37.3586547,-77.443
710 Watkins Centre Pky,Chesterfield,VA,23114,,Under Construction,450,Mid-Rise,4,Richmond/Petersburg,2023,,Watkins Centre,10,,4,,,,,,Market,,All,37.4990468,-77.6917785
15800 City View Dr,Chesterfield,VA,23113,Westchester II,Proposed,250,,3,Richmond/Petersburg,2024,,,1,,5,,,,,,Market,,All,37.5152693,-77.6988542
801 Gateway Centre Pky,Chesterfield,VA,23235,Marcella at Gateway,Proposed,245,Garden,4,Richmond,2023,,,7,,3,,,927.00,,,Market,,All,37.4997024,-77.5550052
13400 Genito Rd,Chesterfield,VA,23112,,Proposed,700,,3,Richmond/Petersburg,2024,,,1,C3,5,,,,,,Market,,All,37.4529259,-77.6432931
Quailwood Rd,Chesterfield,VA,23112,Building 3,Proposed,,,4,Richmond/Petersburg,2027,,Swift Creek Station,,,5,,,,,,,,,37.4057477,-77.6380479
Quailwood Rd,Chesterfield,VA,23112,Building 2,Proposed,,,4,Richmond/Petersburg,2027,,Swift Creek Station,,,3,,,,,,,,,37.406681,-77.6376289
Quailwood Rd,Chesterfield,VA,23112,Building 1,Proposed,,,4,Richmond/Petersburg,2027,,Swift Creek Station,,,3,,,,,,,,,37.4066597,-77.637071
