OBJECTID,GEOID,STATE,COUNTY,TRACT,EACODE,EANAME,HCV_PUBLIC,HCV_PCT_RENTER_OCC_UNITS,HCV_PUBLIC_PCT,SHAPE_Length,SHAPE_Area
64571,51041100210,51,41,100210,137,"Richmond, VA    ",,,,0.082939065,0.000344353
64572,51041100209,51,41,100209,137,"Richmond, VA    ",25,6.28000021,6.28000021,0.120489871,0.000791115
64595,51041100509,51,41,100509,137,"Richmond, VA    ",,,,0.434254876,0.003598667
64596,51041100821,51,41,100821,137,"Richmond, VA    ",,,,0.376605572,0.006633841
64663,51041100932,51,41,100932,137,"Richmond, VA    ",,,,0.082199919,0.000288048
64689,51041101010,51,41,101010,137,"Richmond, VA    ",,,,0.228233555,0.002047973
64692,51041101012,51,41,101012,137,"Richmond, VA    ",,,,0.11190998,0.000630771
64760,51041100817,51,41,100817,137,"Richmond, VA    ",11,2.13000011,2.13000011,0.094244662,0.000526798
64762,51041100923,51,41,100923,137,"Richmond, VA    ",,,,0.07705038,0.000327992
64763,51041100929,51,41,100929,137,"Richmond, VA    ",,,,0.137962942,0.000789978
64764,51041100931,51,41,100931,137,"Richmond, VA    ",,,,0.132519053,0.000877261
64777,51041100822,51,41,100822,137,"Richmond, VA    ",,,,0.394608066,0.004105784
64780,51041101011,51,41,101011,137,"Richmond, VA    ",,,,0.086193052,0.000262708
64860,51041100206,51,41,100206,137,"Richmond, VA    ",16,3.31999993,3.31999993,0.140852688,0.000849726
64941,51041100208,51,41,100208,137,"Richmond, VA    ",,,,0.111875661,0.000450047
66976,51041100920,51,41,100920,137,"Richmond, VA    ",,,,0.089524868,0.000333674
67005,51041100933,51,41,100933,137,"Richmond, VA    ",,,,0.081495505,0.000299893
67062,51041100816,51,41,100816,137,"Richmond, VA    ",17,6.63999987,6.63999987,0.097382803,0.000443819
67063,51041100921,51,41,100921,137,"Richmond, VA    ",,,,0.112770049,0.000382096
67064,51041100922,51,41,100922,137,"Richmond, VA    ",,,,0.115445869,0.000668127
67075,51041100823,51,41,100823,137,"Richmond, VA    ",43,8.31999969,8.31999969,0.139716973,0.001068665
67147,51041100600,51,41,100600,137,"Richmond, VA    ",20,6.25,6.25,0.097139255,0.000338239
67243,51041100407,51,41,100407,137,"Richmond, VA    ",,,,0.140310319,0.000910184
67653,51041101013,51,41,101013,137,"Richmond, VA    ",,,,0.152844598,0.001183512
67654,51041100507,51,41,100507,137,"Richmond, VA    ",16,7.13999987,7.13999987,0.18356327,0.0010714
67655,51041101009,51,41,101009,137,"Richmond, VA    ",,,,0.178752963,0.00161672
67657,51041100409,51,41,100409,137,"Richmond, VA    ",,,,0.150089611,0.001093484
67699,51041100934,51,41,100934,137,"Richmond, VA    ",63,9.22000027,9.22000027,0.106500758,0.000705651
67700,51041100936,51,41,100936,137,"Richmond, VA    ",,,,0.138893802,0.000684958
67703,51041100410,51,41,100410,137,"Richmond, VA    ",100,13.22999954,13.22999954,0.066243436,0.000202649
