name,locality,address,county,state,zip,units,units_mhccv,corridor
Bellwood Mobile Home Park,CHESTERFIELD,7611 Jefferson Davis Hwy,North Chesterfield,Virginia,23237,33,41,Route 1 - N
Carneal's Trailer Park,CHESTERFIELD,13501 Jefferson Davis Hwy,Chester,Virginia,23831,32,24,Route 1 - S
Conner Homes,CHESTERFIELD,12331 Jefferson Davis Highway,Chester,Virginia,23831,62,54,Route 1 - N
El Rancho Trailer Court,CHESTERFIELD,7748 Midlothian Turnpike,Richmond,Virginia,23235,50,55,Midlothian
Falling Creek Mobile Home Park,CHESTERFIELD,6919 Jefferson Davis Hwy,Richmond,Virginia,23237,135,35,Route 1 - N
Greenleigh Mobile Home Park,CHESTERFIELD,14006 Stevenhurst Drive,Chester,Virginia,23831,655,502,Route 1 - S
Harbour East Village,CHESTERFIELD,800 West Hundred Road,Chester,Virginia,23836,255,260,Route 10
Holiday Mobile Home Park,CHESTERFIELD,9701 Jefferson Davis Hwy,Chesterfield,Virginia,23832,140,140,Route 1 - N
Parkway Trailer Court,CHESTERFIELD,6750 Jefferson Davis Hwy,Richmond,Virginia,23237,28,28,Route 1 - N
Plantation Mobile Home,CHESTERFIELD,17210 Jefferson Davis Hwy,Colonial Heights,Virginia,23834,50,48,Route 1 - S
Ponderosa Mobile Home Park,CHESTERFIELD,7725 Jefferson Davis Hwy,Richmond,Virginia,23237,68,27,Route 1 - N
Shady Hill Mobile Home Park,CHESTERFIELD,6811 Jefferson Davis Highway,Richmond,Virginia,23237,131,110,Route 1 - N
Suburban Mobile Village,CHESTERFIELD,10000 Midlothian Turnpike,Richmond,Virginia,23235,247,226,Midlothian
Bermuda Estates,CHESTER,12311 Jefferson Davis HWY,Chester,Virginia,23831,54,54,Route 1 - N
Unnamed,CHESTER,400 E Hundred Rd,Chester,Virginia,23836,29,29,Route 10
Unnamed,CHESTERFIELD,8219 Jefferson Davis Hwy,Chesterfield,,23237,12,12,Route 1 - N
Bellwood Rd LLC Trailer Park,CHESTERFIELD,9612 Jefferson Davis Hwy,Chesterfield,Virginia,23237,13,13,Route 1 - N
