PID,Prop Type,Status,Address,Subdivision,Type,# Bedrooms,Total Baths,# Rooms,Fin SF,List Price,Sales Price,Days On Market,Sales Date,Zip
770-69-41-89-400-000,Condo/Town,CLOSD,3003 Allandale DR,Newberry Towne,Townhouse,3,1.1,5,"1,512","$146,000 ","$125,000 ",9,10/8/2021,23224
767-69-84-90-900-000,Single Family,CLOSD,2311 Goodes Bridge RD,Providence Farms,Detached,3,1,6,"1,155","$149,000 ","$178,750 ",9,11/3/2021,23224
769-69-05-87-600-000,Single Family,CLOSD,4125 Bronholly RD,Belmont Hills,Detached,3,1,5,"1,104","$155,000 ","$155,000 ",2,12/10/2021,23834
770-69-41-99-600-000,Condo/Town,CLOSD,3001 Allandale DR,Newberry Towne,Townhouse,2,1,4,880,"$160,000 ","$187,650 ",4,7/18/2022,23224
771-69-42-37-700-000,Condo/Town,CLOSD,2814 Ennismore CT,Newberry Towne,Townhouse,3,1,6,"1,512","$162,500 ","$168,500 ",4,11/22/2021,23224
770-69-49-38-100-000,Condo/Town,CLOSD,2918 Ennismore CT,Newberry Towne,Townhouse,3,1.1,6,"1,512","$169,950 ","$169,950 ",25,8/26/2021,23224
771-69-37-89-500-000,Condo/Town,CLOSD,3138 Newington CT Unit#3138,Newberry Towne,Townhouse,3,1.1,6,"1,694","$170,000 ","$177,000 ",8,12/7/2021,23224
771-69-40-89-200-000,Condo/Town,CLOSD,2834 Ennismore CT,Newberry Towne,Townhouse,3,1.1,6,"1,386","$170,000 ","$181,000 ",7,10/13/2021,23224
765-69-15-13-900-000,Single Family,CLOSD,7051 Manning RD,Belmont Hills West,Detached,3,1.1,6,"1,606","$179,900 ","$205,000 ",6,8/6/2021,23832
770-69-46-71-000-000,Condo/Town,CLOSD,6034 Partingdale CIR,Newberry Towne,Townhouse,2,1.1,5,"1,218","$179,950 ","$195,000 ",7,3/11/2022,23224
769-69-43-75-500-000,Condo/Town,CLOSD,3134 Kim DR,Ashley Village,Townhouse,2,2.1,6,"1,292","$182,000 ","$191,000 ",4,8/6/2021,23224
770-69-41-38-900-000,Condo/Town,CLOSD,3009 Allandale DR,Newberry Towne,Townhouse,3,1.1,6,"1,512","$185,000 ","$210,000 ",4,4/5/2022,23224
761-68-80-76-500-000,Single Family,CLOSD,8008 Sussex PL,Sussex Estate,Detached,3,1.1,6,"1,456","$185,000 ","$186,000 ",3,9/8/2021,23832
769-69-35-77-500-000,Condo/Town,CLOSD,6423 Sexton DR,Ashley Village,Townhouse,3,2.1,6,"1,306","$189,000 ","$189,000 ",9,9/17/2021,23224
