PID,Prop Type,Status,Address,Subdivision,Type,# Bedrooms,Total Baths,# Rooms,Fin SF,List Price,Sales Price,Days On Market,Sales Date,Zip
790-67-75-72-400-000,Single Family,CLOSD,2806 Congress RD,Rayon Park,Detached,2,1,5,"1,024","$65,000 ","$117,000 ",5,7/13/2022,23237
786-68-93-10-600-025,Condo/Town,CLOSD,5204 Castlewood RD Unit#A,Tree Top,Condominium,2,1,4,859,"$65,000 ","$65,000 ",2,8/27/2021,23234
786-68-93-10-600-026,Condo/Town,CLOSD,5204 Castlewood RD Unit#B,Tree Top,Condominium,2,1,4,859,"$72,500 ","$72,500 ",0,7/30/2021,23234
786-68-93-10-600-068,Condo/Town,CLOSD,5220 Castlewood RD Unit#F,Tree Top Condominium,Condominium,2,1,4,859,"$82,000 ","$100,000 ",6,5/10/2022,23234
789-68-41-18-300-000,Single Family,CLOSD,2839 Stanwix LN,Bensley,Detached,3,1.1,8,"1,856","$90,000 ","$131,000 ",6,4/1/2022,23234
786-68-93-10-600-011,Condo/Town,CLOSD,5218 Castlewood RD Unit#E,Tree Top Condominium,Condominium,2,1,4,860,"$107,500 ","$117,000 ",4,7/7/2022,23234
786-68-93-10-600-090,Condo/Town,CLOSD,5228 Castlewood RD Unit#A,Tree Top Condominium,Condominium,2,1,4,860,"$110,000 ","$103,000 ",8,7/22/2022,23234
791-68-05-69-400-000,Single Family,CLOSD,2550 Gwynn AVE,Patterson Park,Detached,3,1,5,"1,144","$135,000 ","$160,000 ",5,4/11/2022,23237
788-68-36-79-900-000,Single Family,CLOSD,2912 Bensley RD,Wentworth Home Sites,Detached,4,1,7,"1,240","$144,900 ","$151,000 ",2,5/9/2022,23237
789-69-20-05-600-000,Single Family,CLOSD,4803 Oriole AVE,Grindall Creek Park,Detached,2,1,6,852,"$144,900 ","$140,000 ",27,9/30/2021,23234
788-69-18-45-900-000,Single Family,CLOSD,2802 Pate AVE,Grindall Creek Park,Detached,2,1,5,890,"$145,000 ","$156,500 ",1,7/19/2022,23234
789-69-13-24-000-000,Single Family,CLOSD,5002 Oriole AVE,Falling Creek Court,Detached,2,1,4,768,"$149,950 ","$150,000 ",29,10/28/2021,23234
791-65-99-98-300-000,Single Family,CLOSD,3552 Castlebury DR,Cameron Run,Detached,3,1.1,5,"1,097","$150,000 ","$200,500 ",6,3/30/2022,23831
788-68-23-38-000-000,Single Family,CLOSD,2923 Brentwood CIR,Sherbourne Heights,Detached,4,1.1,7,"1,238","$150,000 ","$155,000 ",5,10/4/2021,23237
787-68-97-72-500-000,Single Family,CLOSD,5226 Shady LN,None,Detached,3,2,6,"1,504","$150,000 ","$150,000 ",0,10/8/2021,23234
788-69-17-75-800-000,Single Family,CLOSD,2804 Pate AVE,Grindall Creek Park,Detached,2,1,5,732,"$159,950 ","$147,000 ",10,10/1/2021,23234
793-66-21-37-600-000,Single Family,CLOSD,10709 Surry RD,Mineola,Detached,3,2,6,"1,364","$160,000 ","$160,000 ",0,9/3/2021,23831
792-66-70-30-300-000,Single Family,CLOSD,2949 Gaffney RD,Quail Oaks,Detached,3,1,5,"1,040","$160,000 ","$160,000 ",11,8/10/2021,23237
785-69-24-74-600-000,Single Family,CLOSD,3100 Space RD,Falling Creek Court,Detached,3,1.1,6,"1,222","$165,000 ","$170,000 ",6,12/10/2021,23234
788-69-14-35-200-000,Single Family,CLOSD,4904 Caldwell AVE,Grindall Creek Park,Detached,2,1,6,792,"$167,500 ","$167,000 ",14,10/21/2021,23234
789-69-10-94-500-000,Single Family,CLOSD,5001 Huband AVE,Redfords,Detached,3,1,6,"1,512","$174,950 ","$165,000 ",35,6/13/2022,23234
791-66-68-96-100-000,Single Family,CLOSD,3001 Rushton RD,Quail Oaks,Detached,3,1,6,"1,040","$175,000 ","$175,000 ",0,6/30/2022,23237
788-68-22-35-700-000,Single Family,CLOSD,6819 Strathmore RD,Sherbourne Heights,Detached,4,1,6,"1,670","$175,000 ","$180,000 ",25,5/20/2022,23237
791-66-68-96-100-000,Single Family,CLOSD,3001 Rushton RD,Quail Oaks,Detached,3,1,6,"1,040","$175,000 ","$160,000 ",3,8/30/2021,23237
