Sales Date,,PID,Prop Type,Status,Area,Address,Subdivision,Type,# Bedrooms,Total Baths,# Rooms,Fin SF,List Price,Sales Price,Acres,Days On Market,Year Built,Style,Buyer Office Name,List Date,County/City
,2219543,790-66-76-93-800-000,Rentals,ACT,52,9562 ASHWOOD RD,,House,3,1,,"1,040","$1,200 ",,,5,,,,7/11/2022,Chesterfield
,2218956,793-67-39-53-100-000,Rentals,ACT,52,2526 Norcliff RD,,House,3,2,,"2,121","$1,795 ",,18.47,10,,,,7/6/2022,Chesterfield
7/20/2017,1717484,792-65-92-06-400-000,Rentals,L,52,3537 Castlebury DR,Cameron Run,House,3,1,5,960,"$1,000 ","$1,000 ",0.27,72,1983,Ranch,Long & Foster REALTORS,5/10/2017,Chesterfield
8/10/2017,1727998,786-68-93-10-600-056,Rentals,L,52,5212 Castlewood RD,Treetop,Condo/Townhouse,2,1,4,857,$795 ,$795 ,7.09,11,1968,Other,Century 21 Option 1 Realty,7/31/2017,Chesterfield
8/25/2017,1727952,,Rentals,L,52,2810 Gainford CIR,Falling Creek Hills,House,3,1.5,5,"1,242","$1,275 ","$1,275 ",0.29,13,1966,Ranch,Hometown Realty,7/30/2017,Chesterfield
8/29/2017,1730976,791-66-15-17-400-000,Rentals,L,52,11030 Stilton DR,Mineola,House,4,2,6,"1,312","$1,375 ","$1,375 ",0.28,6,1992,Cape,Joyner Fine Properties,8/24/2017,Chesterfield
10/17/2017,1735729,788-66-11-89-600-000,Rentals,L,52,4030 Walters DR,Glen Oaks,House,4,3.5,9,"2,489","$1,750 ","$1,750 ",,13,1987,2-Story,Front Door Realty Group LLC,10/5/2017,Chesterfield
12/8/2017,1732930,793-67-39-53-100-000,Rentals,L,52,2526 Norcliff RD,Kingsland Heights,House,3,2,8,"2,121","$1,250 ","$1,250 ",,42,1940,Cape,Long & Foster REALTORS,9/13/2017,Chesterfield
2/20/2018,1803406,793-66-19-38-200-000,Rentals,L,52,10912 Rufford RD,Cameron Run,House,3,2.1,7,"1,629","$1,500 ","$1,500 ",0.37,13,1989,2-Story,Long & Foster REALTORS,2/1/2018,Chesterfield
2/23/2018,1736007,793-665-97-84-00000,Rentals,L,52,10124 Brightwood AVE,Central Park,House,2,1,4,868,$840 ,$840 ,,140,1940,"Cottage/Bungalow, Ranch",Napier REALTORS ERA,10/7/2017,Chesterfield
5/2/2018,1812464,790-66-76-93-800-000,Rentals,L,52,9562 ASHWOOD RD,Quail Oaks,House,3,1,5,"1,040","$1,150 ","$1,150 ",,26,1965,Ranch,Commonwealth Real Estate Co,4/7/2018,Chesterfield
6/15/2018,1815923,,Rentals,L,52,3116 Dundas Road,Holiday Plaza,Duplex,2,1,5,842,$795 ,$795 ,,40,1960,Ranch,"Executives, Inc.",5/7/2018,Chesterfield
7/11/2018,1824550,793-66-15-30-000-000,Rentals,L,52,3321 Walnut Cove CT,Cameron Run,House,3,2,5,"1,104","$1,350 ","$1,350 ",0.24,7,1990,Transitional,VA Properties and Management,7/5/2018,Chesterfield
8/6/2018,1825682,785-69-02-24-300-000,Rentals,L,52,5203 Whitewater CT,Shady Creek,House,4,2,7,"1,368","$1,295 ","$1,295 ",0.24,22,1987,Cape,"Executives, Inc.",7/16/2018,Chesterfield
9/12/2018,1830257,788-68-58-54-300-000,Rentals,L,52,2810 Gainford CIR,Falling Creek Hills,House,3,1.1,5,"1,242","$1,275 ","$1,275 ",0.29,19,1966,A-frame,US Realty One Inc,8/22/2018,Chesterfield
10/3/2018,1834554,790-66-31-00-100-000,Rentals,L,52,10712 Ethens Mill RD,Brooks Chapel,House,3,2.1,7,"2,112","$1,725 ","$1,725 ",0.36,5,2015,2-Story,Long & Foster REALTORS,9/28/2018,Chesterfield
3/1/2019,1903802,786-68-93-10-600-030,Rentals,L,52,5204 Castlewood RD Unit#F,Tree Top Condominium,Condo/Townhouse,2,1,4,859,$850 ,$850 ,7.09,23,1968,Colonial,BWI Properties LLC,2/7/2019,Chesterfield
7/19/2019,1920630,791-66-14-05-900-000,Rentals,L,52,11100 Stilton DR,Mineola,House,3,2.1,5,"1,440","$1,550 ","$1,550 ",0.27,29,1988,Cape,VA Properties and Management,6/21/2019,Chesterfield
7/26/2019,1907064,7.91684E+14,Rentals,L,52,2423 Sherbourne RD,Bensley,Duplex,2,1,4,952,$935 ,$935 ,,84,1961,Ranch,Premier Residential LLC,3/8/2019,Chesterfield
8/9/2019,1924535,785-69-32-97-200-000,Rentals,L,52,4715 Falling Creek CIR,Ampthill Heights,House,3,1,6,"1,475","$1,000 ","$1,000 ",0.33,19,1965,Ranch,"Bradley Real Estate, LLC",7/22/2019,Chesterfield
8/27/2019,1925031,788-66-33-97-300-000,Rentals,L,52,3906 Hilltop Farms TER,Hilltop Farms,House,3,2,6,"1,462","$1,495 ","$1,495 ",0.24,30,1992,2-Story,"Bradley Real Estate, LLC",7/29/2019,Chesterfield
9/4/2019,1922997,786-68-93-10-600-056,Rentals,L,52,5212 Castlewood RD,Tree Top Condominium,Condo/Townhouse,2,1,4,857,$795 ,$795 ,7.09,56,1968,Low-Rise,Option 1 Realty,7/11/2019,Chesterfield
12/10/2019,1935510,793-67-39-53-100-000,Rentals,L,52,2526 Norcliff RD,Kingsland Heights,House,3,2,8,"2,121","$1,295 ","$1,295 ",,33,1940,Cape,Long & Foster REALTORS,11/4/2019,Chesterfield
4/13/2020,2008610,,Rentals,L,52,3113 Hartwell DR,Falling Creek Court,House,3,1,6,"1,105",$975 ,$975 ,,27,1964,Ranch,"Executives, Inc.",3/18/2020,Chesterfield
4/19/2020,2011276,792-66-27-94-900-000,Rentals,L,52,10813 Drayton RD,Chipchase At Mineola,House,3,2,6,"1,512","$1,550 ","$1,550 ",0.33,9,1985,2-Story,Snipes Properties,4/11/2020,Chesterfield
5/1/2020,2013207,791-66-15-17-400-000,Rentals,L,54,11030 Stilton DR,Mineola,House,4,2,6,"1,312","$1,375 ","$1,375 ",0.28,0,1992,Cape,Joyner Fine Properties,5/1/2020,Chesterfield
5/15/2020,2010492,792-66-90-01-200-000,Rentals,L,52,2833 Kingsdale RD,Quail Oaks,House,4,2.5,7,"2,243","$1,700 ","$1,700 ",0.44,14,1965,"2-Story, Ranch",United Real Estate Richmond,4/3/2020,Chesterfield
6/12/2020,2015744,796-65-73-67-900-000,Rentals,L,52,11925 Warfield Ridge DR,Warfield Estates,House,3,2.1,6,"1,838","$1,550 ","$1,550 ",0.35,9,1998,2-Story,Long & Foster REALTORS,5/27/2020,Chesterfield
7/1/2020,2018365,792-66-14-11-100-000,Rentals,L,52,11201 Eagle Point RD,Chipchase At Mineola,House,3,2.5,6,"2,150","$1,950 ","$1,950 ",0.36,13,1985,Colonial,Front Door Realty Group LLC,6/19/2020,Chesterfield
7/24/2020,2020299,793-67-39-53-100-000,Rentals,L,52,2526 Norcliff RD,Kingsland Heights,House,3,2,8,"2,121","$1,295 ","$1,295 ",,10,1940,"2-Story, Cape",Long & Foster REALTORS,7/14/2020,Chesterfield
8/14/2020,2023015,786-68-93-10-600-056,Rentals,L,52,5212 Castlewood RD Unit#F,Tree Top Condominium,Condo/Townhouse,2,1,4,857,$895 ,$895 ,7.09,16,1968,Low-Rise,Option 1 Realty,7/30/2020,Chesterfield
12/1/2020,2030940,7.91684E+14,Rentals,L,50,2423 Sherbourne RD,Bensley,Duplex,2,1,4,950,$935 ,$935 ,,30,1961,Ranch,Premier Residential LLC,10/8/2020,Richmond City
4/4/2021,2105922,792-66-27-94-900-000,Rentals,L,52,10813 Drayton RD,,House,3,2,,"1,512","$1,650 ","$1,650 ",,4,,,Snipes Properties,3/5/2021,Chesterfield
4/23/2021,2109272,788-66-45-78-600-000,Rentals,L,52,3907 HAMLIN CREEK CT,,House,5,2,,"2,168","$1,595 ","$1,595 ",,12,,,Exit Realty Parade of Homes,4/5/2021,Chesterfield
5/14/2021,2111932,788-66-45-78-600-000,Rentals,L,52,3907 Hamlin Creek CT,,House,3,2,,"2,168","$1,595 ","$1,595 ",0.33,10,,,River City Realty & Investment,4/27/2021,Chesterfield
5/26/2021,2114662,796-65-73-67-900-000,Rentals,L,52,11925 Warfield Ridge DR,,House,3,2.1,,"1,838","$1,695 ","$1,695 ",0.35,7,,,Long & Foster REALTORS,5/18/2021,Chesterfield
6/10/2021,2116848,793-67-39-53-100-000,Rentals,L,52,2526 Norcliff RD,,House,3,2,,"2,121","$1,495 ","$1,495 ",18.47,6,,,Long & Foster REALTORS,6/4/2021,Chesterfield
6/28/2021,2118174,788-66-34-77-200-000,Rentals,L,52,3902 Hilltop Farms TER,,House,4,2.1,,"1,983","$1,995 ","$1,995 ",0.25,4,,,Long & Foster REALTORS,6/15/2021,Chesterfield
7/20/2021,2119403,7.91684E+14,Rentals,L,52,2421 Sherbourne RD,,Duplex,2,1,,950,$945 ,$945 ,,17,,,Premier Residential LLC,6/28/2021,Chesterfield
7/22/2021,2120193,796-65-73-67-900-000,Rentals,L,52,11925 Warfield Ridge DR,,House,3,2.1,,"1,838","$1,795 ","$1,795 ",,22,,,Long & Foster REALTORS,7/1/2021,Chesterfield
7/27/2021,2121225,786-68-93-10-600-086,Rentals,L,52,5226 Castlewood RD Unit#E,,Condo/Townhouse,2,1,,858,"$1,100 ","$1,100 ",7.09,8,,,Rashkind Saunders & Co.,7/11/2021,Chesterfield
8/12/2021,2121707,790-66-76-93-800-000,Rentals,L,52,9562 ASHWOOD RD,,House,3,1,,"1,040","$1,200 ","$1,200 ",,30,,,Commonwealth Real Estate Co,7/14/2021,Chesterfield
