period,rent,rent_adj
2022 Q1,1108,1114
2021 Q4,1101,1114
2021 Q3,1103,1134
2021 Q2,1068,1117
2021 Q1,1037,1107
2020 Q4,1008,1086
2020 Q3,997,1080
2020 Q2,982,1076
2020 Q1,960,1043
2019 Q4,960,1046
2019 Q3,956,1049
2019 Q2,940,1035
2019 Q1,916,1017
2018 Q4,916,1019
2018 Q3,909,1014
2018 Q2,900,1008
2018 Q1,895,1009
2017 Q4,882,1002
2017 Q3,871,998
2017 Q2,856,985
2017 Q1,846,975
2016 Q4,840,974
2016 Q3,834,974
2016 Q2,828,972
2016 Q1,822,972
2015 Q4,816,964
2015 Q3,811,958
2015 Q2,798,947
2015 Q1,793,947
2014 Q4,781,926
2014 Q3,777,919
2014 Q2,772,916
2014 Q1,771,920
2013 Q4,772,927
2013 Q3,774,933
2013 Q2,767,929
2013 Q1,763,923
2012 Q4,755,917
2012 Q3,745,911
2012 Q2,740,909
2012 Q1,737,907
2011 Q4,736,911
2011 Q3,726,902
2011 Q2,729,912
2011 Q1,728,921
2010 Q4,733,937
2010 Q3,746,962
2010 Q2,742,960
2010 Q1,743,960
2009 Q4,742,961
2009 Q3,748,976
2009 Q2,747,983
2009 Q1,742,982
2008 Q4,747,982
2008 Q3,750,963
2008 Q2,751,978
2008 Q1,747,987
2007 Q4,743,992
2007 Q3,744,1006
2007 Q2,739,1005
2007 Q1,732,1007
2006 Q4,727,1010
2006 Q3,725,1003
2006 Q2,718,1002
2006 Q1,707,996
2005 Q4,700,992
2005 Q3,698,997
2005 Q2,693,1006
2005 Q1,687,1004
2004 Q4,687,1009
2004 Q3,689,1023
2004 Q2,685,1023
2004 Q1,676,1017
2003 Q4,677,1028
2003 Q3,684,1042
2003 Q2,690,1059
2003 Q1,692,1061
2002 Q4,693,1072
2002 Q3,688,1072
2002 Q2,698,1093
2002 Q1,702,1108
2001 Q4,696,1102
2001 Q3,678,1073
2001 Q2,664,1053
2001 Q1,649,1036
2000 Q4,643,1037
2000 Q3,639,1038
2000 Q2,634,1040
2000 Q1,629,1039
