address,county,state,zip,propertyname,status,units,style,start,yearbuilt,yearreno,buildings,zoning,stories,vacancy,unitsf,askingrent,effectiverent,rent,affordable,market,owner,developer,Number Of 1 Bedrooms Units,Number Of 2 Bedrooms Units,Number Of 3 Bedrooms Units,Number Of 4 Bedrooms Units,latitude,longitude
5002 Alan Dr,Chesterfield,VA,23234,Oakwood Apartments,Existing,32,Garden,2,1975,,8,R-7,1,4.32,,867,862,Market,,All,Sage Commercial Ventures,,16,16,,,37.453624,-77.446765
2507 Alcott Rd,Chesterfield,VA,23237,Huntwood Apartments,Existing,48,Single-Family Home,2,1974,,7,C-3,1,4.31,550,800,795,Market,,All,Sage Commercial Ventures,,48,,,,37.423032,-77.4366379
2800 Bensley Commons Blvd,Chesterfield,VA,23237-1726,Winchester Greens Apartments,Existing,240,Garden,2,2000,,42,R12,2,3.49,1186,965,960,Affordable,Rent Restricted,All,Better Housing Coalition,,,64,176,,37.4236177,-77.4418739
7101 Bensley Commons Blvd,Chesterfield,VA,23237,"Market Square I, II, and III",Existing,174,Garden,4,2006,,5,,3,1.64,801,1259,1255,Affordable,Rent Restricted,Senior,Better Housing Coalition,,71,103,,,37.4245944,-77.4415003
5201-5223 Collindale Rd,Chesterfield,VA,23234,Collindale Apartments,Existing,20,Garden,2,1964,1990,6,R7,2,4.31,950,805,800,Market,,All,Great Richmond Rentals,,,20,,,37.4525867,-77.4445528
10200 Colony Village Way,Chesterfield,VA,23237-3374,Colony Village II,Existing,166,Low-Rise,3,2017,,3,C5,2,20.78,835,1604,1588,Market,,All,Plus Management,"The Emerson Construction Group, Inc",88,70,8,,37.385989,-77.4258182
10250 Colony Village Way,Chesterfield,VA,23237,Colony Village,Existing,332,Garden,4,2013,,8,C5,3,3.71,727,1469,1461,Market,,All,Plus Management,"The Emerson Construction Group, Inc",224,83,25,,37.3868515,-77.4266142
6110 Cricklewood Dr,Chesterfield,VA,23234,SouthPointe Landing Apartments,Existing,192,Garden,2,1972,,19,RMF,2,5.58,1031,975,969,Affordable,Rent Restricted,All,Hivernan Realty Group LLC,,,160,32,,37.443839,-77.448835
2796 Goolsby Ave,Chesterfield,VA,23234-4436,Heritage Pointe Apartments,Existing,110,Garden,3,1968,,6,R7,2,1.78,888,1041,1037,Market,,All,"KRS Holdings, Inc.",,,110,,,37.4520676,-77.4467055
8219 Jefferson Davis Hwy,Chesterfield,VA,23237-1361,,Existing,13,,2,1957,,1,C3,,,800,,,,,All,Jim Blackburn,,13,,,,37.4129137,-77.4348938
9608 Jefferson Davis Hwy,Chesterfield,VA,23237,,Existing,13,,2,1957,,,C-5,1,4.31,,825,820,,,,Idris Mohammed,,13,,,,37.3932258,-77.4295826
11240 Jefferson Davis Hwy,Chesterfield,VA,23237-4241,,Existing,52,Garden,3,1963,,13,C3,1,4.31,,,,Market,,All,"KRS Holdings, Inc.",,52,,,,37.3739812,-77.4194953
2530 Marina Dr,Chesterfield,VA,23234-5139,Falling Creek,Existing,348,Garden,2,1964,2017,31,RMF,2,4.89,568,890,885,Market,,All,Prospect Capital Corporation,,230,116,,,37.4378792,-77.4393993
12300 Moore’s Lake Rd,Chesterfield,VA,23831-2317,The Jane at Moore's Lake,Existing,385,Mid-Rise,4,2019,,2,,4,4.02,837,1726,1716,Market,,All,Emerson & Roper- The Jane at Moore's Lake,Plus MGT,193,123,69,,37.3621348,-77.4099752
