,PID,Prop Type,Status,Area,Address,Subdivision,Type,# Bedrooms,Total Baths,# Rooms,Fin SF,List Price,Sales Price,Days On Market,Sales Date,Zip,MLS
1515730,S0090538003,Single Family,CLOSD,50,2702 Walmsley BLVD,Grindall Creek Park,Detached,4,1,6,"1,048","$18,000 ","$18,000 ",35,7/30/2015,23234,CVR
1933410,S009-0538-004,Single Family,CLOSD,50,2704 Walmsley BLVD,Grindall Creek Park,Detached,4,1,7,"1,048","$99,950 ","$105,000 ",2,10/28/2019,23234,CVR
2208743,S009-0538-002,Single Family,CLOSD,50,2700 Walmsley BLVD,Oak Crest,Detached,4,1.1,7,"1,152","$149,950 ","$149,950 ",6,8/4/2022,23234,CVR
1634003,C008-0427-055,Single Family,CLOSD,50,2808 Grindall,Stephens Glen,Detached,3,2,6,"1,293","$154,630 ","$154,630 ",35,2/21/2017,23234,CVR
1130911,789-692-32-02-00000,Single Family,CLOSD,52,4905 Oriole AVE,Grindall Creek Park,Detached,3,1,6,792,"$21,000 ","$25,000 ",12,2/22/2012,23234,CVR
1208504,789-692-29-07-00000,Single Family,CLOSD,52,4903 Oriole AVE,Grindall Creek Park,Detached,3,1,6,"1,028","$28,500 ","$35,000 ",24,5/15/2012,23234,CVR
1329006,787-689-81-72-00000,Single Family,CLOSD,52,3000 Goolsby AVE,None,Detached,2,1,5,937,"$29,000 ","$38,500 ",15,12/6/2013,23234,CVR
1216476,792-676-37-26-00000,Single Family,CLOSD,52,2516 Gettings LN,Bellwood Addition,Detached,2,1,4,782,"$29,700 ","$32,000 ",44,9/7/2012,23237,CVR
1639851,789-69-13-59-700-000,Single Family,CLOSD,52,4907 Oriole AVE,Grindall Creek Park,Detached,3,1,6,"1,188","$29,900 ","$35,000 ",43,4/26/2017,23234,CVR
1132060,786-689-31-06-00092,Condo/Town,CLOSD,52,5228 Castlewood RD Unit#C,Tree Top Condominium,Condominium,2,1,4,860,"$29,900 ","$30,000 ",30,2/6/2012,23234,CVR
1730655,798-65-92-35-300-000,Single Family,CLOSD,52,2458 Osborne RD,Normandale Terrace,Detached,2,1,4,704,"$30,000 ","$42,000 ",20,9/25/2017,23831,CVR
1131526,788-683-68-45-00000,Single Family,CLOSD,52,2907 Sherbourne RD,Sherbourne Heights,Detached,3,2,6,"1,050","$30,000 ","$41,000 ",6,1/20/2012,23237,CVR
