source,sumlevel,geoid,name,st,cnty,tract,T7_est1,T7_est2,T7_est3,T7_est4,T7_est5,T7_est6,T7_est7,T7_est8,T7_est9,T7_est10,T7_est11,T7_est12,T7_est13,T7_est14,T7_est15,T7_est16,T7_est17,T7_est18,T7_est19,T7_est20,T7_est21,T7_est22,T7_est23,T7_est24,T7_est25,T7_est26,T7_est27,T7_est28,T7_est29,T7_est30,T7_est31,T7_est32,T7_est33,T7_est34,T7_est35,T7_est36,T7_est37,T7_est38,T7_est39,T7_est40,T7_est41,T7_est42,T7_est43,T7_est44,T7_est45,T7_est46,T7_est47,T7_est48,T7_est49,T7_est50,T7_est51,T7_est52,T7_est53,T7_est54,T7_est55,T7_est56,T7_est57,T7_est58,T7_est59,T7_est60,T7_est61,T7_est62,T7_est63,T7_est64,T7_est65,T7_est66,T7_est67,T7_est68,T7_est69,T7_est70,T7_est71,T7_est72,T7_est73,T7_est74,T7_est75,T7_est76,T7_est77,T7_est78,T7_est79,T7_est80,T7_est81,T7_est82,T7_est83,T7_est84,T7_est85,T7_est86,T7_est87,T7_est88,T7_est89,T7_est90,T7_est91,T7_est92,T7_est93,T7_est94,T7_est95,T7_est96,T7_est97,T7_est98,T7_est99,T7_est100,T7_est101,T7_est102,T7_est103,T7_est104,T7_est105,T7_est106,T7_est107,T7_est108,T7_est109,T7_est110,T7_est111,T7_est112,T7_est113,T7_est114,T7_est115,T7_est116,T7_est117,T7_est118,T7_est119,T7_est120,T7_est121,T7_est122,T7_est123,T7_est124,T7_est125,T7_est126,T7_est127,T7_est128,T7_est129,T7_est130,T7_est131,T7_est132,T7_est133,T7_est134,T7_est135,T7_est136,T7_est137,T7_est138,T7_est139,T7_est140,T7_est141,T7_est142,T7_est143,T7_est144,T7_est145,T7_est146,T7_est147,T7_est148,T7_est149,T7_est150,T7_est151,T7_est152,T7_est153,T7_est154,T7_est155,T7_est156,T7_est157,T7_est158,T7_est159,T7_est160,T7_est161,T7_est162,T7_est163,T7_est164,T7_est165,T7_est166,T7_est167,T7_est168,T7_est169,T7_est170,T7_est171,T7_est172,T7_est173,T7_est174,T7_est175,T7_est176,T7_est177,T7_est178,T7_est179,T7_est180,T7_est181,T7_est182,T7_est183,T7_est184,T7_est185,T7_est186,T7_est187,T7_est188,T7_est189,T7_est190,T7_est191,T7_est192,T7_est193,T7_est194,T7_est195,T7_est196,T7_est197,T7_est198,T7_est199,T7_est200,T7_est201,T7_est202,T7_est203,T7_est204,T7_est205,T7_est206,T7_est207,T7_est208,T7_est209,T7_est210,T7_est211,T7_est212,T7_est213,T7_moe1,T7_moe2,T7_moe3,T7_moe4,T7_moe5,T7_moe6,T7_moe7,T7_moe8,T7_moe9,T7_moe10,T7_moe11,T7_moe12,T7_moe13,T7_moe14,T7_moe15,T7_moe16,T7_moe17,T7_moe18,T7_moe19,T7_moe20,T7_moe21,T7_moe22,T7_moe23,T7_moe24,T7_moe25,T7_moe26,T7_moe27,T7_moe28,T7_moe29,T7_moe30,T7_moe31,T7_moe32,T7_moe33,T7_moe34,T7_moe35,T7_moe36,T7_moe37,T7_moe38,T7_moe39,T7_moe40,T7_moe41,T7_moe42,T7_moe43,T7_moe44,T7_moe45,T7_moe46,T7_moe47,T7_moe48,T7_moe49,T7_moe50,T7_moe51,T7_moe52,T7_moe53,T7_moe54,T7_moe55,T7_moe56,T7_moe57,T7_moe58,T7_moe59,T7_moe60,T7_moe61,T7_moe62,T7_moe63,T7_moe64,T7_moe65,T7_moe66,T7_moe67,T7_moe68,T7_moe69,T7_moe70,T7_moe71,T7_moe72,T7_moe73,T7_moe74,T7_moe75,T7_moe76,T7_moe77,T7_moe78,T7_moe79,T7_moe80,T7_moe81,T7_moe82,T7_moe83,T7_moe84,T7_moe85,T7_moe86,T7_moe87,T7_moe88,T7_moe89,T7_moe90,T7_moe91,T7_moe92,T7_moe93,T7_moe94,T7_moe95,T7_moe96,T7_moe97,T7_moe98,T7_moe99,T7_moe100,T7_moe101,T7_moe102,T7_moe103,T7_moe104,T7_moe105,T7_moe106,T7_moe107,T7_moe108,T7_moe109,T7_moe110,T7_moe111,T7_moe112,T7_moe113,T7_moe114,T7_moe115,T7_moe116,T7_moe117,T7_moe118,T7_moe119,T7_moe120,T7_moe121,T7_moe122,T7_moe123,T7_moe124,T7_moe125,T7_moe126,T7_moe127,T7_moe128,T7_moe129,T7_moe130,T7_moe131,T7_moe132,T7_moe133,T7_moe134,T7_moe135,T7_moe136,T7_moe137,T7_moe138,T7_moe139,T7_moe140,T7_moe141,T7_moe142,T7_moe143,T7_moe144,T7_moe145,T7_moe146,T7_moe147,T7_moe148,T7_moe149,T7_moe150,T7_moe151,T7_moe152,T7_moe153,T7_moe154,T7_moe155,T7_moe156,T7_moe157,T7_moe158,T7_moe159,T7_moe160,T7_moe161,T7_moe162,T7_moe163,T7_moe164,T7_moe165,T7_moe166,T7_moe167,T7_moe168,T7_moe169,T7_moe170,T7_moe171,T7_moe172,T7_moe173,T7_moe174,T7_moe175,T7_moe176,T7_moe177,T7_moe178,T7_moe179,T7_moe180,T7_moe181,T7_moe182,T7_moe183,T7_moe184,T7_moe185,T7_moe186,T7_moe187,T7_moe188,T7_moe189,T7_moe190,T7_moe191,T7_moe192,T7_moe193,T7_moe194,T7_moe195,T7_moe196,T7_moe197,T7_moe198,T7_moe199,T7_moe200,T7_moe201,T7_moe202,T7_moe203,T7_moe204,T7_moe205,T7_moe206,T7_moe207,T7_moe208,T7_moe209,T7_moe210,T7_moe211,T7_moe212,T7_moe213
2014thru2018,140,14000US51041100106,"Census Tract 1001.06, Chesterfield County, Virginia",51,41,100106,1100,995,15,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,70,0,0,0,0,25,10,0,15,0,0,0,0,40,25,10,4,10,0,0,10,155,50,25,10,15,40,10,30,0,0,0,0,0,55,45,10,0,15,4,4,0,40,10,10,0,0,0,0,0,0,0,0,0,0,30,25,10,0,0,0,0,0,715,135,125,10,0,415,415,0,0,65,30,35,0,40,30,10,0,60,60,0,0,105,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,10,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,45,0,0,0,0,25,25,0,0,15,15,0,0,0,0,0,0,10,10,0,0,35,0,0,0,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,72,17,14,12,14,12,12,12,12,12,12,12,12,12,12,12,12,12,15,15,12,12,46,12,12,12,12,23,13,12,20,12,12,12,12,37,39,16,17,16,12,12,16,57,34,22,14,21,32,14,30,12,12,12,12,12,34,31,14,12,16,12,13,12,28,13,13,12,12,12,12,12,12,12,12,12,12,25,21,15,12,12,12,12,12,84,46,46,14,12,84,84,12,12,49,29,51,12,28,26,15,12,44,44,12,12,46,15,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,15,15,12,12,16,16,12,12,16,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,12,12,12,12,12,12,12,12,12,12,12,12,13,13,12,12,12,12,12,12,36,12,12,12,12,27,27,12,12,23,23,12,12,12,12,12,12,13,13,12,12,31,12,12,12,12,31,31,12,12,12,12,12,12,12,12,12,12,12,12,12,12
2014thru2018,140,14000US51041100107,"Census Tract 1001.07, Chesterfield County, Virginia",51,41,100107,1030,135,45,0,0,0,0,20,20,0,4,0,0,0,0,15,4,10,0,10,4,0,0,20,10,4,4,4,0,0,0,0,4,4,0,0,0,0,0,0,4,0,0,4,30,4,4,0,0,10,0,10,0,0,0,0,0,15,15,0,0,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,35,4,4,0,0,15,15,0,0,0,0,0,0,4,4,0,0,10,10,0,0,895,120,0,0,0,0,60,0,0,60,0,0,0,0,35,0,0,35,25,0,0,25,105,0,0,0,0,25,0,25,0,20,0,0,20,25,0,4,20,35,0,15,25,235,4,4,4,0,85,35,50,0,20,20,0,0,20,10,4,4,105,45,60,0,190,10,10,0,0,70,60,4,0,15,15,0,0,4,4,0,0,90,90,0,0,245,4,4,0,0,120,120,0,0,0,0,0,0,4,4,0,0,115,115,0,0,80,43,30,12,12,12,12,28,25,12,3,12,12,12,12,13,2,11,12,13,9,12,12,15,11,1,3,3,12,12,12,12,8,8,12,12,12,12,12,12,9,12,12,9,18,2,2,12,12,14,12,14,12,12,12,12,12,12,12,12,12,2,2,12,12,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,12,12,23,2,2,12,12,15,15,12,12,12,12,12,12,4,4,12,12,13,13,12,12,79,49,12,12,12,12,37,12,12,37,12,12,12,12,26,12,12,26,22,12,12,22,55,12,12,12,12,28,12,28,12,31,12,12,31,19,12,5,17,29,12,17,27,72,14,9,2,12,47,34,34,12,33,33,12,12,20,15,8,3,52,40,38,12,58,14,14,12,12,41,40,10,12,16,16,12,12,10,10,12,12,36,36,12,12,65,7,7,12,12,58,58,12,12,12,12,12,12,10,10,12,12,47,47,12,12
2014thru2018,140,14000US51041100205,"Census Tract 1002.05, Chesterfield County, Virginia",51,41,100205,3020,1290,95,0,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,75,0,0,75,210,45,0,45,0,0,0,0,0,100,10,90,0,70,15,40,15,0,0,0,0,260,15,15,0,0,135,120,15,0,25,0,25,0,30,30,0,0,55,10,45,0,80,4,4,0,0,70,25,25,20,4,4,0,0,0,0,0,0,0,0,0,0,645,95,95,0,0,310,310,0,0,40,40,0,0,60,60,0,0,140,140,0,0,1730,225,40,0,0,40,100,0,0,45,0,0,0,0,0,0,0,0,80,0,0,80,345,0,0,0,0,165,20,10,130,65,0,65,0,0,0,0,0,120,10,40,65,795,15,0,15,0,500,250,250,0,10,10,0,0,0,0,0,0,270,90,155,30,70,15,15,0,0,20,20,0,0,0,0,0,0,0,0,0,0,35,35,0,0,295,0,0,0,0,190,190,0,0,45,45,0,0,0,0,0,0,60,60,0,0,122,206,98,17,17,17,17,32,17,17,32,17,17,17,17,17,17,17,17,95,17,17,95,164,48,17,48,17,17,17,17,17,134,27,119,17,56,23,44,29,17,17,17,17,133,25,25,17,17,109,108,29,17,40,17,40,17,26,26,17,17,54,19,50,17,62,14,14,17,17,59,33,39,35,12,12,17,17,17,17,17,17,17,17,17,17,164,92,92,17,17,119,119,17,17,34,34,17,17,54,54,17,17,104,104,17,17,222,126,44,17,17,44,93,17,17,48,17,17,17,17,17,17,17,17,64,17,17,64,116,17,17,17,17,98,37,20,98,66,17,66,17,17,17,17,17,88,15,56,71,208,23,17,23,17,171,145,162,17,24,24,17,17,17,17,17,17,183,123,120,45,69,27,27,17,17,35,35,17,17,17,17,17,17,17,17,17,17,41,41,17,17,161,17,17,17,17,132,132,17,17,72,72,17,17,17,17,17,17,68,68,17,17
2014thru2018,140,14000US51041100206,"Census Tract 1002.06, Chesterfield County, Virginia",51,41,100206,2220,1775,105,15,0,15,0,40,0,0,40,0,0,0,0,35,25,0,10,10,0,0,10,175,10,0,10,0,25,25,0,0,30,30,0,0,110,100,15,0,0,0,0,0,210,10,10,0,0,90,30,60,0,30,0,30,0,25,0,25,0,50,0,50,0,135,0,0,0,0,10,10,0,0,100,100,0,0,15,15,0,0,10,10,0,0,1150,245,245,0,0,645,645,0,0,120,120,0,0,25,25,0,0,115,100,15,0,445,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,100,15,0,15,0,70,0,15,55,0,0,0,0,0,0,0,0,15,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,0,0,0,0,60,0,0,0,0,45,25,20,0,0,0,0,0,0,0,0,0,15,15,0,0,260,0,0,0,0,205,205,0,0,0,0,0,0,0,0,0,0,55,55,0,0,153,160,65,23,17,23,17,43,17,17,43,17,17,17,17,37,29,17,19,23,17,17,23,101,21,17,21,17,44,44,17,17,45,45,17,17,78,76,22,17,17,17,17,17,112,21,21,17,17,72,33,63,17,46,17,46,17,28,17,28,17,61,17,61,17,126,17,17,17,17,16,16,17,17,124,124,17,17,23,23,17,17,22,22,17,17,184,97,97,17,17,176,176,17,17,103,103,17,17,32,32,17,17,84,83,22,17,154,25,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,25,17,17,25,84,24,17,24,17,79,17,27,74,17,17,17,17,17,17,17,17,23,17,23,17,23,17,17,17,17,17,17,17,17,17,17,17,17,23,17,23,17,17,17,17,17,52,17,17,17,17,47,30,33,17,17,17,17,17,17,17,17,17,25,25,17,17,152,17,17,17,17,147,147,17,17,17,17,17,17,17,17,17,17,67,67,17,17
2014thru2018,140,14000US51041100208,"Census Tract 1002.08, Chesterfield County, Virginia",51,41,100208,1060,945,45,0,0,0,0,20,0,0,20,0,0,0,0,30,10,0,20,0,0,0,0,55,10,0,0,10,20,0,10,10,0,0,0,0,25,20,0,10,0,0,0,0,100,25,10,20,0,30,10,20,0,0,0,0,0,30,30,0,0,15,0,15,0,55,15,15,0,0,30,25,10,0,10,10,0,0,0,0,0,0,0,0,0,0,690,260,250,10,0,265,215,50,0,0,0,0,0,125,105,10,10,45,45,0,0,110,30,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,30,0,0,0,0,50,0,0,0,0,0,0,0,0,25,0,0,25,20,0,0,20,0,0,0,0,10,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,10,10,0,0,10,10,0,0,0,0,0,0,4,4,0,0,0,0,0,0,27,66,31,12,12,12,12,22,12,12,22,12,12,12,12,28,13,12,23,12,12,12,12,35,14,12,12,14,23,12,15,16,12,12,12,12,27,23,12,13,12,12,12,12,57,24,14,22,12,24,16,18,12,12,12,12,12,43,43,12,12,17,12,17,12,30,18,18,12,12,27,23,14,12,16,16,12,12,12,12,12,12,12,12,12,12,78,68,64,13,12,62,66,42,12,12,12,12,12,48,46,13,13,32,32,12,12,60,44,12,12,12,12,12,12,12,12,12,12,12,12,44,12,12,44,12,12,12,12,42,12,12,12,12,12,12,12,12,32,12,12,32,25,12,12,25,12,12,12,12,14,12,12,12,12,14,12,14,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,24,15,15,12,12,14,14,12,12,12,12,12,12,15,15,12,12,12,12,12,12
2014thru2018,140,14000US51041100209,"Census Tract 1002.09, Chesterfield County, Virginia",51,41,100209,2525,2035,100,0,0,0,0,45,0,0,25,0,0,0,0,55,0,0,55,0,0,0,0,135,10,0,10,0,0,0,0,0,15,0,0,15,95,15,65,15,20,0,0,20,325,25,20,10,0,185,150,35,0,0,0,0,0,30,0,30,0,85,20,65,0,335,65,35,25,0,150,115,30,0,0,0,0,0,30,15,15,0,95,75,15,0,1140,270,270,0,0,555,555,0,0,45,45,0,0,130,75,55,0,135,115,20,0,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,35,0,35,0,15,15,0,0,45,0,45,0,65,4,60,0,35,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,0,0,0,0,0,300,0,0,0,0,80,80,0,0,35,35,0,0,0,0,0,0,185,185,0,0,68,188,65,17,17,17,17,44,17,17,32,17,17,17,17,47,17,17,47,17,17,17,17,88,15,17,15,17,17,17,17,17,25,17,17,25,81,24,77,27,36,17,17,36,134,28,24,14,17,105,100,41,17,17,17,17,17,39,17,39,17,84,32,79,17,157,47,31,40,17,115,114,37,17,17,17,17,17,35,29,22,17,67,66,32,17,176,91,91,17,17,148,148,17,17,54,54,17,17,97,67,83,17,105,100,33,17,174,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,118,17,17,17,17,39,17,39,17,33,33,17,17,64,17,64,17,96,10,93,17,42,17,17,17,17,17,17,17,17,17,17,17,17,42,42,17,17,17,17,17,17,159,17,17,17,17,88,88,17,17,36,36,17,17,17,17,17,17,156,156,17,17
2014thru2018,140,14000US51041100210,"Census Tract 1002.10, Chesterfield County, Virginia",51,41,100210,630,340,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,4,0,0,0,0,50,20,20,0,0,4,0,4,0,0,0,0,0,20,20,0,0,4,0,0,4,75,15,10,4,0,0,0,0,0,10,10,0,0,35,10,25,0,15,4,10,0,20,4,0,4,0,10,10,0,0,0,0,0,0,0,0,0,0,4,4,0,0,180,30,30,0,0,110,110,0,0,25,25,0,0,0,0,0,0,15,15,0,0,290,30,0,0,0,0,30,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,60,0,10,50,0,0,0,0,0,0,0,0,4,0,4,0,45,0,0,0,0,10,10,0,0,0,0,0,0,4,0,4,0,30,20,10,0,45,0,0,0,0,15,15,0,0,0,0,0,0,4,4,0,0,25,15,10,0,105,10,10,0,0,60,60,0,0,10,10,0,0,0,0,0,0,30,30,0,0,59,71,15,12,12,12,12,12,12,12,12,12,12,12,12,15,12,6,9,12,12,12,12,41,36,36,12,12,13,12,13,12,12,12,12,12,16,16,12,12,11,12,12,11,47,16,14,9,12,12,12,12,12,18,18,12,12,40,13,36,12,20,11,15,12,21,15,12,15,12,13,13,12,12,12,12,12,12,12,12,12,12,17,17,12,12,56,23,23,12,12,51,51,12,12,28,28,12,12,12,12,12,12,15,15,12,12,73,34,12,12,12,12,34,12,12,31,12,12,12,12,12,12,12,12,12,12,12,12,49,12,12,12,12,49,12,19,43,12,12,12,12,12,12,12,12,4,12,4,12,35,12,12,12,12,14,14,12,12,12,12,12,12,11,12,11,12,32,31,20,12,28,12,12,12,12,17,17,12,12,12,12,12,12,9,9,12,12,21,18,15,12,55,15,15,12,12,49,49,12,12,14,14,12,12,12,12,12,12,22,22,12,12
2014thru2018,140,14000US51041100300,"Census Tract 1003, Chesterfield County, Virginia",51,41,100300,970,485,65,4,0,0,4,10,0,0,10,20,0,0,20,15,0,0,15,20,0,10,0,70,15,10,10,0,25,0,25,0,10,0,10,0,10,0,4,4,4,0,4,0,165,25,25,0,0,105,65,10,30,20,10,10,0,4,4,0,0,10,10,0,0,60,10,10,0,0,25,15,10,0,0,0,0,0,15,15,0,0,10,10,0,0,130,40,40,0,0,40,40,0,0,20,20,0,0,4,4,0,0,20,20,0,0,485,105,4,0,0,4,40,0,0,40,20,20,0,0,0,0,0,0,40,0,0,40,95,10,0,10,0,30,0,15,15,4,0,0,4,25,15,10,0,30,0,20,10,200,15,15,0,0,120,90,30,0,4,0,4,0,4,0,4,0,55,35,25,0,25,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,4,4,0,0,55,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,30,30,0,0,61,85,43,4,12,12,4,14,12,12,14,24,12,12,24,25,12,12,25,19,12,16,12,32,15,14,14,12,24,12,24,12,16,12,16,12,13,12,9,12,12,12,12,12,70,17,17,12,12,62,44,17,43,24,16,15,12,9,9,12,12,16,16,12,12,37,14,14,12,12,21,17,15,12,12,12,12,12,24,24,12,12,17,17,12,12,52,29,29,12,12,33,33,12,12,21,21,12,12,5,5,12,12,19,19,12,12,81,53,8,12,12,8,37,12,12,37,21,21,12,12,12,12,12,12,36,12,12,36,46,13,12,13,12,27,12,24,19,6,12,12,6,24,25,13,12,26,12,23,14,71,18,18,12,12,58,44,31,12,13,12,13,12,5,12,5,12,44,28,33,12,26,12,12,12,12,27,27,12,12,12,12,12,12,12,12,12,12,12,12,12,12,38,12,12,12,12,37,37,12,12,12,12,12,12,12,12,12,12,19,19,12,12
2014thru2018,140,14000US51041100403,"Census Tract 1004.03, Chesterfield County, Virginia",51,41,100403,2525,1560,130,0,0,0,0,20,0,0,20,0,0,0,0,45,0,15,30,70,0,0,70,110,0,0,0,0,0,0,0,0,55,40,15,0,35,0,20,15,20,20,0,0,140,55,55,0,0,55,40,15,0,0,0,0,0,0,0,0,0,30,0,30,0,145,75,30,0,40,25,0,0,25,15,15,0,0,35,20,20,0,0,0,0,0,1035,275,235,40,0,485,435,50,0,115,95,20,0,65,65,0,0,90,90,0,0,960,35,0,0,0,0,20,0,0,20,0,0,0,0,15,0,0,15,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,40,0,275,0,0,0,0,120,30,85,0,0,0,0,0,20,0,20,0,135,50,85,0,125,0,0,0,0,110,90,20,0,0,0,0,0,0,0,0,0,15,15,0,0,490,0,0,0,0,150,150,0,0,30,30,0,0,0,0,0,0,310,310,0,0,221,170,99,17,17,17,17,32,17,17,32,17,17,17,17,41,17,22,36,87,17,17,87,71,17,17,17,17,17,17,17,17,59,54,24,17,41,17,32,29,35,35,17,17,82,46,46,17,17,49,42,25,17,17,17,17,17,17,17,17,17,44,17,44,17,100,76,36,17,65,38,17,17,38,34,34,17,17,42,33,32,17,17,17,17,17,166,85,86,39,17,152,148,27,17,65,63,33,17,50,50,17,17,62,62,17,17,216,40,17,17,17,17,34,17,17,34,17,17,17,17,26,17,17,26,17,17,17,17,46,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,46,17,46,17,156,17,17,17,17,101,49,89,17,17,17,17,17,34,17,34,17,119,48,107,17,84,17,17,17,17,76,71,36,17,17,17,17,17,17,17,17,17,22,22,17,17,152,17,17,17,17,92,92,17,17,33,33,17,17,17,17,17,17,113,113,17,17
2014thru2018,140,14000US51041100404,"Census Tract 1004.04, Chesterfield County, Virginia",51,41,100404,895,225,45,0,0,0,0,20,20,0,0,4,0,0,4,10,0,10,0,4,4,0,0,40,0,0,0,0,10,10,0,0,0,0,0,0,20,4,4,10,10,0,4,4,35,4,4,0,0,25,15,10,4,0,0,0,0,4,0,4,0,0,0,0,0,35,0,0,0,0,10,10,0,0,4,4,0,0,20,20,0,0,0,0,0,0,70,0,0,0,0,45,30,15,0,10,10,0,0,0,0,0,0,15,15,0,0,675,215,4,0,0,0,55,0,0,55,0,0,0,0,25,0,4,20,130,0,0,110,180,0,0,0,0,65,30,25,10,0,0,0,0,55,4,50,0,65,0,40,25,165,4,4,0,0,65,65,0,0,10,0,10,0,4,4,0,0,80,80,0,0,50,4,4,0,0,10,10,0,0,4,4,0,0,4,4,0,0,25,25,0,0,65,0,0,0,0,15,15,0,0,4,4,0,0,4,4,0,0,40,40,0,0,79,48,28,12,12,12,12,25,25,12,12,11,12,12,11,13,12,13,12,9,9,12,12,26,12,12,12,12,15,15,12,12,12,12,12,12,18,4,3,17,15,12,9,10,22,8,8,12,12,20,13,12,3,12,12,12,12,8,12,8,12,12,12,12,12,27,12,12,12,12,15,15,12,12,9,9,12,12,24,24,12,12,12,12,12,12,39,12,12,12,12,29,24,22,12,14,14,12,12,12,12,12,12,16,16,12,12,87,67,5,12,12,12,37,12,12,37,12,12,12,12,23,12,10,24,54,12,12,50,69,12,12,12,12,48,38,29,15,12,12,12,12,30,6,32,12,43,12,35,27,65,7,7,12,12,49,49,12,12,16,12,16,12,5,5,12,12,43,43,12,12,27,5,5,12,12,16,16,12,12,4,4,12,12,10,10,12,12,23,23,12,12,35,12,12,12,12,19,19,12,12,9,9,12,12,21,21,12,12,31,31,12,12
